"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"[Acidovorax] ebreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Actinomadura] parvosata",0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0
"[Brevibacterium] flavum",4,8,7,0,0,2,0,0,0,1,0,2,8,0,0,0,0,0,0,18,0,0,0,12,2,0,1,2,3,12,1,0
"[Clostridium] colinum",1,0,6,0,0,26,2,0,0,0,1,0,0,1,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,12,0,0
"[Clostridium] hylemonae",2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"[Clostridium] innocuum",174,112,102,152,64,143,113,26,58,24,119,129,38,78,61,66,90,120,98,33,63,182,299,67,43,113,178,121,47,28,70,30
"[Clostridium] scindens",4,34,17,24,14,31,5,14,236,7,12,17,4,12,1,5,60,24,32,21,1,191,15,76,14,39,1,5,10,21,8,21
"[Enterobacter] lignolyticus",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Haemophilus] ducreyi",157,290,58,8,48,89,458,98,52,12,47,44,14,31,12,15,75,53,39,33,15,100,50,15,22,43,55,26,14,11,34,9
"[Kitasatospora] papulosa",0,19,9,75,2,43,0,0,8,2,0,0,1,0,0,0,7,0,5,33,2,4,10,7,0,12,1,6,0,5,0,9
"[Mannheimia] succiniciproducens",2,7,6,0,1,72,1,3,16,0,0,0,0,0,0,2,17,1,5,103,3,46,7,54,0,1,7,0,1,0,0,23
"[Mycobacterium] stephanolepidis",0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,17,0,7,0,0,2,0,0,5
"[Mycoplasma] anseris",3,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,14,0,0,1,0,2,0,0,0,0,0
"[Mycoplasma] gypis",2,26,16,15,0,41,0,5,4,1,3,0,0,1,1,12,0,2,12,49,0,71,20,129,2,7,0,1,1,4,0,32
"[Mycoplasma] mobile",1,7,8,54,2,69,0,6,0,3,0,0,0,3,0,1,10,5,0,6,0,38,0,61,0,21,0,5,0,13,0,21
"[Pantoea] beijingensis",0,1,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0
"[Pseudomonas] carboxydohydrogena",26,57,78,724,6,248,18,18,642,5,22,13,6,10,13,28,96,455,17,817,23,152,156,76,26,202,31,34,45,65,22,77
"[Ruminococcus] lactaris",129,55,30,75,74,65,84,61,12,12,279,12,0,34,15,51,307,457,152,210,281,206,73,66,231,363,91,143,191,235,50,41
"[Ruminococcus] torques",1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,19,0,0,0,0,0,0,0,0,0,14
"Aarhusvirus katbat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia defectiva",397,128,98,220,161,113,142,138,51,22,616,68,77,87,34,93,667,1192,462,372,777,766,158,239,604,793,293,353,452,743,77,79
"Abyssibius alkaniclasticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Abyssicoccus albus",0,0,12,0,0,0,0,1,3,0,2,0,0,0,0,3,1,1,0,0,0,2,0,40,0,0,0,8,1,0,0,3
"Acaryochloris sp. 'Moss Beach'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Aceticella autotrophica",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetilactobacillus jinshanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Acetivibrio clariflavus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetivibrio saccincola",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
"Acetivibrio thermocellus",249,90,115,867,88,385,12,146,16,59,193,18,0,117,510,286,4,1,1,218,1,112,675,290,13,4,17,278,3,25,5,68
"Acetoanaerobium sticklandii",569,146,404,539,42,227,35,173,15,41,9,5,8,16,4,14,104,107,42,53,48,123,195,60,12,2,27,38,7,3,7,13
"Acetobacter aceti",25,16,11,20,29,8,69,17,16,6,20,27,41,21,3,15,15,29,31,10,29,11,14,12,28,54,45,10,11,9,46,35
"Acetobacter ascendens",0,5,0,0,0,0,0,0,0,0,15,4,0,2,1,0,8,370,2,0,0,0,10,0,0,12,0,0,11,2,0,0
"Acetobacter ghanensis",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter oryzifermentans",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0
"Acetobacter oryzoeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter pasteurianus",3,20,6,112,3,26,0,41,3,4,14,0,0,2,0,43,8,18,40,80,0,15,15,394,4,6,4,9,1,13,1,154
"Acetobacter persici",0,21,28,40,3,7,1,4,0,2,6,0,0,0,2,1,2,0,11,43,1,38,7,44,12,0,4,0,1,4,1,13
"Acetobacter senegalensis",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,1,0,3
"Acetobacter tropicalis",14,11,17,81,13,22,10,90,0,0,0,1,15,0,0,4,0,1,0,1,0,59,1,0,3,1,1,4,6,3,1,5
"Acetobacter vaccinii",0,0,0,13,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,2,0,3
"Acetobacterium wieringae",1,0,0,0,2,17,0,1,0,3,1,0,68,4,0,0,0,0,5,0,0,0,0,0,2,15,0,0,0,10,0,16
"Acetobacterium woodii",282,428,1269,18285,2238,2265,280,21158,8,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,1,20,0,0,0,0,0,0
"Acetohalobium arabaticum",46,116,280,28,101,483,2,159,668,3,15,9,0,17,0,3,74,156,11,204,13,259,165,112,34,385,2,33,22,35,1,56
"Acetomicrobium mobile",2,0,12,0,0,0,0,0,84,14,10,6,8,6,2,0,64,53,93,582,6,0,6,0,0,0,1,8,1,0,0,0
"Acholeplasma hippikon",1,7,32,71,3,95,1,15,0,6,2,4,1,2,2,4,21,5,32,140,0,112,24,136,8,11,0,7,2,25,0,17
"Acholeplasma laidlawii",1,0,0,0,0,0,3,20,0,0,0,0,0,2,0,0,0,0,1,0,0,17,10,32,0,0,0,0,0,4,0,0
"Achromobacter aegrifaciens",0,23,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,13,0,1,0,0,0,40,0,0,0,0,0,0,0,5
"Achromobacter deleyi",0,12,0,1,0,0,0,4,0,0,0,0,0,0,0,3,9,9,0,0,0,0,17,0,0,0,2,0,3,0,0,6
"Achromobacter denitrificans",1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter insolitus",1,0,10,6,0,3,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter mucicolens",0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Achromobacter pestifer",0,12,0,0,0,1,1,0,1,3,6,0,0,0,2,1,1,17,10,85,0,0,7,35,0,0,0,9,3,12,0,20
"Achromobacter ruhlandii",1,15,0,23,0,19,0,2,6,0,0,1,217,0,1,0,11,3,0,0,0,16,4,5,3,0,4,5,11,0,4,32
"Achromobacter seleniivolatilans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Achromobacter sp.",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,17,16,36,0,0,0,0,0,0,0,2
"Achromobacter sp. 77",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Achromobacter sp. AONIH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. B7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Achromobacter sp. E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. ES-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Achromobacter sp. LM16",0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. MFA1 R4",0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,6,0,0,1,0,0,13,0,0,0,0,0,0,0,0
"Achromobacter spanius",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Achromobacter veterisilvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter xylosoxidans",2,1,1,0,0,0,0,0,5,0,2,1,0,0,0,1,0,0,1,1,4,8,5,0,2,0,2,3,1,0,0,0
"Acidaminococcus fermentans",25,5,15,3,4,7,3,2,0,2,3,2,0,2,4,1,2,3,0,13,2,13,35,14,5,14,5,7,1,2,1,7
"Acidaminococcus intestini",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Acidianus sp. HS-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidibrevibacterium fodinaquatile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
"Acididesulfobacillus acetoxydans",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Acidiferrobacter sp. SPIII_3",0,16,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,2,3,1,1,0,0,0,0,5,0,1,1,3,0,0
"Acidiferrobacter thiooxydans",2,8,5,15,3,124,3,7,0,3,1,5,0,1,0,3,5,3,8,57,0,57,21,14,0,11,3,9,3,22,0,13
"Acidihalobacter aeolianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidihalobacter ferrooxydans",0,0,4,0,1,1,1,5,1,0,2,3,1,0,0,0,5,1,0,1,0,0,2,0,2,0,1,1,0,6,0,2
"Acidihalobacter yilgarnensis",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidilutibacter cellobiosedens",0,0,0,0,0,0,0,5,5,3,0,0,4,0,2,2,3,7,1,0,0,0,0,22,0,0,0,0,1,8,0,4
"Acidimicrobium ferrooxidans",5,0,2,0,1,2,4,6,0,1,8,1,8,1,2,4,10,21,9,28,19,7,2,7,7,5,9,10,11,13,1,5
"Acidiphilium acidophilum",1,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,1,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Acidiphilium multivorum",1,42,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,57,0,0,1,9,2,0,0,0,0,18
"Acidipropionibacterium acidipropionici",5,140,58,121,3,171,2,35,14,0,2,0,3,1,0,3,14,3,42,182,2,192,74,113,6,18,3,12,0,14,1,24
"Acidipropionibacterium jensenii",1,33,8,55,0,1,0,3,4,1,3,3,0,2,4,0,2,1,28,47,1,165,16,56,11,0,1,3,0,41,0,38
"Acidipropionibacterium virtanenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidisarcina polymorpha",0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,12
"Acidisoma sp. PAMC 29798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Acidithiobacillus caldus",329,499,395,2405,2305,13338,74,8209,60,28,540,26,10,36,602,2016,0,0,0,13,0,0,3,20,0,0,3,15,1,13,2,0
"Acidithiobacillus ferriphilus",0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,7,10,0,0,1,0,0,0,0,0
"Acidithiobacillus ferrivorans",19,102,43,155,5,217,7,12,50,13,26,18,7,13,11,23,191,588,172,423,1,305,49,56,8,154,3,21,40,19,0,31
"Acidithiobacillus ferrooxidans",4,0,2,0,0,0,9,0,1,1,0,0,0,0,0,1,6,8,0,0,1,0,4,0,4,0,1,2,1,0,1,0
"Acidithiobacillus sp. AMEEHan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidithiobacillus thiooxidans",15,20,2,51,6,1,12,6,4,1,6,1,1,1,1,1,7,2,30,0,1,97,2,0,1,7,15,1,1,18,2,0
"Acidobacterium capsulatum",2,0,0,0,2,0,0,8,1,1,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,1,4,11,2,1
"Acidocella sp. MX-AZ03",0,0,0,0,0,0,0,8,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidothermus cellulolyticus",1922,146,1678,12809,1814,8095,470,169495,135,65,397,47,12,156,141,265,0,7,6,27,8,2,22,15,43,12,37,185,21,26,40,25
"Acidovorax carolinensis",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax radicis",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,12,0,0
"Acidovorax sp. 1608163",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"Acidovorax sp. 210-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0
"Acidovorax sp. DW039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax sp. FHTAMBA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax sp. GBBC 1281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax sp. HDW3",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Acidovorax sp. JMULE5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"Acidovorax sp. KKS102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Acidovorax sp. NCPPB 3576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax sp. NCPPB 3859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Acidovorax sp. RAC01",0,0,10,0,0,0,0,9,56,2,14,6,1,1,0,0,14,4,0,0,0,0,76,14,0,0,0,7,0,0,0,0
"Acidovorax sp. T1",0,0,5,11,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,90,0,0,0,20,0,7,0,0,0,0,0,0
"Acidovorax temperans",4,117,13,128,1,189,3,107,42,10,12,5,2,8,5,11,13,15,95,275,3,927,37,405,8,21,1,29,3,47,2,155
"Acinetobacter baumannii",251,511,476,45,495,172,868,53,224,234,607,279,850,224,87,107,527,601,578,251,572,128,158,149,335,656,864,191,188,155,508,335
"Acinetobacter baylyi",247,290,77,244,126,714,46,349,99,80,110,58,5,239,190,214,36,65,24,228,54,366,1465,175,191,131,72,641,29,283,57,192
"Acinetobacter bereziniae",1,11,9,34,1,65,1,20,21,3,6,2,1,0,1,1,15,58,15,173,4,152,15,148,7,5,0,4,3,10,0,160
"Acinetobacter bouvetii",243,490,36,199,76,1454,261,68,19,24,27,0,0,26,26,17,36,71,23,10,13,152,716,59,21,27,6,143,3,25,7,25
"Acinetobacter calcoaceticus",66,91,128,28,112,36,220,408,105,46,91,66,135,58,25,50,327,159,285,456,113,37,53,72,61,149,153,56,52,41,142,60
"Acinetobacter chinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Acinetobacter colistiniresistens",3,170,50,86,5,351,1,35,37,13,7,17,12,1,3,14,46,7,96,327,5,269,146,318,12,50,6,16,1,46,1,117
"Acinetobacter cumulans",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter defluvii",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,3,0,0,4,0,1,0,0,0,2
"Acinetobacter dispersus",2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"Acinetobacter entericus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter equi",0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,19,0,0,0,2,0,0,0,0,0,0
"Acinetobacter gerneri",189,294,21,160,17,329,9,77,31,68,88,9,1,158,61,192,52,70,12,99,38,98,623,252,165,29,67,1087,15,143,61,314
"Acinetobacter guillouiae",1,8,0,0,0,22,2,0,0,0,0,0,0,0,0,2,0,2,0,39,0,0,0,4,0,0,0,0,0,0,0,6
"Acinetobacter haemolyticus",2,0,0,17,0,0,0,13,0,2,0,2,0,0,0,0,4,54,2,42,1,28,0,14,0,22,4,9,6,0,1,3
"Acinetobacter indicus",0,16,0,0,0,34,0,0,60,5,26,4,7,5,4,2,96,80,75,365,5,0,0,12,0,8,0,5,0,3,0,5
"Acinetobacter johnsonii",9,8,20,3,14,4,35,17,6,8,11,12,12,13,2,12,12,14,11,2,16,6,5,8,5,13,29,7,6,4,19,7
"Acinetobacter junii",1,30,25,131,21,85,6,0,284,1,14,0,36,3,8,0,9,2,3,2134,28,23,75,7,8,14,3,9,4,63,8,81
"Acinetobacter lactucae",0,0,7,0,0,11,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0
"Acinetobacter lanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,1,3,0,0,1,0,0,5
"Acinetobacter larvae",0,0,1,13,0,0,0,1,5,0,0,0,1,0,0,0,0,5,10,0,0,10,0,1,0,1,0,0,0,2,2,4
"Acinetobacter lwoffii",16,0,40,3,2,1,1,1,0,0,5,0,1,8,1,0,0,0,0,8,0,0,5,4,1,0,0,2,4,8,3,0
"Acinetobacter nosocomialis",8,8,2,2,3,7,0,0,3,0,14,3,1,2,7,1,2,1,1,33,1,33,39,4,0,3,8,19,4,0,1,0
"Acinetobacter oleivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter phage vB_AbaM_Acibel004",0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter phage YMC13/03/R2096",0,0,0,9,4,1,0,6,0,0,0,0,4,0,0,4,3,0,12,4,0,68,0,0,1,6,0,1,1,0,0,9
"Acinetobacter piscicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter pittii",3,2,1,9,0,3,0,0,0,0,0,2,0,1,1,0,9,0,0,0,0,1,5,0,0,0,0,1,0,0,0,5
"Acinetobacter portensis",0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2
"Acinetobacter proteolyticus",0,0,1,0,0,0,0,3,8,0,0,0,0,0,1,2,0,0,0,0,13,59,0,0,0,0,0,0,0,6,0,11
"Acinetobacter pseudolwoffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter radioresistens",2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,19,20,0,0,0,0,0,0,7,0,0
"Acinetobacter schindleri",2,42,36,63,0,0,2,54,22,1,7,5,1,1,0,15,162,24,26,87,1,105,43,112,5,21,3,0,5,30,0,22
"Acinetobacter sedimenti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter seifertii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Acinetobacter septicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Acinetobacter shaoyimingii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp.",45,70,71,10,111,48,147,12,35,32,97,40,138,51,21,35,73,87,89,28,90,29,55,36,53,133,150,40,50,22,141,50
"Acinetobacter sp. 10FS3-1",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7
"Acinetobacter sp. 16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. 8_A20231192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. A7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. Ac-14",0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. ACNIH1",0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. ACNIH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. AHP123",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. ANC 7201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. AOR07_HL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. AS23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. ASP199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. BEC1-S18-ESBL-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Acinetobacter sp. BHS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. C32I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0
"Acinetobacter sp. Colony158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. CS-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. D009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Acinetobacter sp. EB104",2,77,7,16,1,27,0,6,12,1,1,2,2,5,1,8,7,3,18,98,1,123,11,40,2,18,0,2,0,11,1,15
"Acinetobacter sp. ESL0695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Acinetobacter sp. F9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Acinetobacter sp. FDAARGOS_493",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Acinetobacter sp. FDAARGOS_560",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Acinetobacter sp. FDAARGOS_724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,5,0,0,0,8
"Acinetobacter sp. GSS19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
