"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Pseudoxanthomonas sp. X-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoxanthomonas spadix",0,0,0,30,0,14,0,0,0,0,0,1,0,0,6,0,9,64,0,0,0,0,0,3,0,9,0,0,7,0,0,5
"Pseudoxanthomonas suwonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
"Pseudoxanthomonas winnipegensis",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacillus glaciei",0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,0,1,2,0,0,4,26,151,29,1,1,0,0,0,2,0,0
"Psychrobacter alimentarius",4,67,0,16,0,122,0,13,16,7,0,1,1,3,0,5,16,0,14,76,2,39,14,46,5,12,3,0,0,19,0,5
"Psychrobacter arcticus",0,10,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,3,9,59,0,72,10,0,0,0,0,1,0,0,0,9
"Psychrobacter arenosus",6,47,34,107,5,47,7,11,13,0,6,8,1,7,4,12,30,7,15,144,3,152,33,193,5,16,3,10,1,6,0,28
"Psychrobacter cryohalolentis",0,0,6,0,0,46,0,0,14,0,0,0,1,4,0,1,6,31,1,16,0,80,12,4,0,4,1,0,2,0,0,1
"Psychrobacter raelei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sanguinis",0,0,4,0,0,48,0,1,0,0,0,2,1,0,0,0,7,2,11,60,0,67,1,0,0,12,0,2,2,18,0,14
"Psychrobacter sp.",2,0,5,24,0,14,0,0,0,0,6,0,0,2,0,0,8,189,4,0,4,25,14,0,0,9,0,3,13,0,0,25
