"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Aggregatibacter sp. Marseille-P9115"	"S"	2866570	7260	2116	NA	324	1158	275	138	85	2041	343	283	60	44	57	12	NA	53	33	17	50	50	14	54	62	113	14	46	5385	2626	726	513	176	7260	414	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter>unclassified&nbsp;Aggregatibacter"
"Aggregatibacter sp. oral taxon 513"	"S"	712150	2029	1839	NA	72	157	37	33	52	90	17	59	2	5	13	4	NA	8	4	18	32	56	29	10	43	NA	17	65	744	1237	349	291	152	2029	55	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter>unclassified&nbsp;Aggregatibacter"
"Aggregatibacter aphrophilus"	"S"	732	79000	3706	209	1025	2708	358	1612	1496	842	181	1364	1784	2683	79000	3332	2	3021	2565	1627	622	1006	591	429	5657	227	637	4304	7787	4003	1487	2242	885	7329	723	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter"
"Aggregatibacter actinomycetemcomitans"	"S"	714	3470	1039	58	719	2053	198	1488	1151	1130	254	708	28	25	365	28	4	62	31	163	786	1309	521	408	1025	714	234	345	3470	1685	642	498	451	2797	277	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter"
"Aggregatibacter segnis"	"S"	739	351	162	NA	37	55	22	3	36	181	16	22	4	23	11	3	NA	13	20	89	129	327	279	52	351	39	17	95	156	230	79	30	17	296	16	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter"
"Mannheimia pernigra"	"S"	111844	8923	8923	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	5	7	NA	NA	NA	7	160	864	1043	2372	6	35	4	127	10	10	14	3	2	8	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Mannheimia haemolytica"	"S"	75985	6570	348	1	146	70	34	86	83	290	103	101	17	11	212	27	2	69	31	117	622	917	351	234	547	339	56	196	6237	6570	4330	1639	2886	5862	362	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Mannheimia varigena"	"S"	85404	1212	89	NA	1212	79	156	822	251	237	25	732	5	3	47	4	NA	15	14	45	42	45	69	49	77	110	58	70	83	95	51	75	49	54	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Mannheimia granulomatis"	"S"	85402	116	86	NA	11	7	3	15	11	28	9	22	1	1	64	4	NA	15	1	16	28	39	28	18	77	50	32	63	85	98	92	77	33	116	10	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Mannheimia bovis"	"S"	2770636	40	20	NA	3	NA	NA	NA	6	NA	1	NA	NA	2	3	NA	NA	10	2	1	NA	1	1	1	7	NA	NA	10	18	22	24	40	1	28	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Mannheimia sp. ZY171111"	"S"	2679995	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia>unclassified&nbsp;Mannheimia"
"Mannheimia sp. USDA-ARS-USMARC-1261"	"S"	1432056	9	1	NA	4	2	NA	1	NA	NA	NA	NA	NA	NA	9	1	NA	1	NA	3	NA	NA	2	5	2	NA	NA	1	6	4	1	3	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia>unclassified&nbsp;Mannheimia"
"Actinobacillus equuli"	"S"	718	9667	5731	2	101	42	9	77	33	39	55	87	169	204	445	105	NA	1472	447	102	1133	2153	493	2071	1554	429	669	9667	2940	3000	5052	7794	828	4618	516	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus suis"	"S"	716	6056	3809	NA	6	NA	NA	33	5	NA	5	5	96	89	272	56	NA	1055	369	43	46	184	90	1552	1692	2049	224	2614	1454	1567	3328	6056	523	1346	349	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus porcitonsillarum"	"S"	189834	599	599	NA	20	11	NA	29	11	NA	1	NA	6	7	31	3	NA	108	24	1	50	114	41	34	133	10	13	192	305	381	462	454	84	431	23	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus delphinicola"	"S"	51161	540	540	NA	1	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	3	NA	2	5	8	5	1	30	NA	NA	1	380	525	135	162	14	121	20	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus pleuropneumoniae"	"S"	715	372	84	NA	103	16	24	84	24	66	40	84	4	5	118	11	NA	33	12	69	219	372	169	183	278	157	49	120	165	280	111	167	125	223	27	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus genomosp. 1"	"S"	254839	61	41	NA	1	NA	NA	14	1	NA	1	NA	NA	1	8	NA	NA	13	NA	NA	10	19	10	17	6	21	1	14	43	49	60	42	13	61	5	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus indolicus"	"S"	51049	35	30	NA	2	1	1	NA	NA	2	6	NA	2	2	3	NA	NA	16	5	3	6	NA	NA	1	7	NA	NA	3	11	19	25	35	4	21	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus lignieresii"	"S"	720	222	27	NA	51	3	16	32	7	NA	4	13	NA	4	37	5	NA	13	NA	4	156	222	93	19	99	6	NA	31	59	40	54	29	45	58	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus arthritidis"	"S"	157339	65	27	NA	12	NA	1	2	3	2	3	9	NA	NA	15	NA	NA	2	3	13	23	54	19	30	13	4	NA	13	51	48	34	55	15	65	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Actinobacillus genomosp. 2"	"S"	230709	69	22	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3	1	NA	7	3	NA	NA	5	6	NA	11	NA	NA	26	27	33	45	35	4	69	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Pasteurella atlantica"	"S"	2827233	4965	2839	NA	29	31	8	15	54	15	76	2	231	157	384	87	NA	1385	572	90	394	759	207	3086	2299	39	488	2368	1763	2493	3098	4965	349	1997	584	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Pasteurella multocida"	"S"	747	9743	637	62	1596	642	314	798	664	747	747	552	213	124	1691	253	102	692	186	628	3812	6460	3046	2017	4227	3021	501	9743	2900	4366	7256	1510	4046	2190	842	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Pasteurella dagmatis"	"S"	754	131	43	NA	NA	NA	1	19	6	2	4	NA	NA	NA	2	NA	NA	12	2	NA	NA	1	2	3	12	6	131	2	32	19	42	49	7	40	5	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Pasteurella skyensis"	"S"	97481	483	26	NA	40	14	9	25	22	15	36	16	2	1	69	5	NA	4	8	22	294	483	143	34	284	77	15	34	74	106	49	19	41	68	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Pasteurella canis"	"S"	753	46	6	NA	18	15	3	24	26	46	9	3	1	1	7	1	1	2	1	7	42	21	16	9	21	1	26	5	18	26	15	6	7	10	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Glaesserella parasuis"	"S"	738	2240	1600	NA	298	121	41	151	126	103	158	211	22	30	563	47	1	72	55	144	664	1263	371	291	770	439	76	349	842	1390	1464	2240	570	836	232	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Glaesserella"
"Glaesserella sp. 15-184"	"S"	2030797	92	76	NA	3	NA	NA	NA	NA	NA	NA	5	NA	2	6	NA	NA	27	10	NA	2	4	1	25	38	20	4	92	38	18	75	74	7	59	5	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Glaesserella>unclassified&nbsp;Glaesserella"
"Bibersteinia trehalosi"	"S"	47735	1534	1129	NA	682	495	82	483	73	517	27	714	48	40	198	35	NA	486	151	25	287	486	199	1525	750	264	296	1392	812	848	1125	1534	223	1372	149	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Bibersteinia"
"Gallibacterium salpingitidis"	"S"	505341	23566	842	6	170	128	40	401	205	254	116	404	321	93	23566	794	NA	660	595	519	406	704	218	177	1637	237	298	991	1365	1133	4088	1259	244	600	151	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Gallibacterium"
"Gallibacterium anatis"	"S"	750	664	47	1	54	43	12	34	25	57	29	33	8	9	200	24	NA	28	12	6	560	664	104	110	217	237	31	40	140	113	93	90	47	111	12	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Gallibacterium"
"Bisgaardia hudsonensis"	"S"	109472	394	237	NA	11	NA	NA	6	11	16	5	2	NA	4	30	10	NA	35	18	16	60	131	52	163	394	44	NA	264	126	92	74	278	86	132	10	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Bisgaardia"
"Avibacterium paragallinarum"	"S"	728	434	90	1	186	21	54	97	45	104	33	66	114	293	177	104	NA	291	123	54	237	434	134	254	116	393	67	167	130	144	139	170	186	112	28	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Avibacterium"
"Avibacterium volantium"	"S"	762	637	17	NA	4	13	NA	NA	5	NA	6	5	1	NA	78	3	NA	NA	1	43	20	16	171	429	21	637	101	267	48	47	34	19	2	46	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Avibacterium"
"Histophilus somni"	"S"	731	3920	166	3	572	347	136	573	404	486	690	334	34	64	1199	121	3	231	136	359	2806	3920	1648	1424	3471	1798	264	559	1885	2108	703	797	1095	2287	116	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Histophilus"
"Rodentibacter caecimuris"	"S"	1796644	304	62	NA	46	3	2	48	7	29	13	29	NA	3	41	NA	NA	12	38	304	72	175	57	64	81	51	11	101	194	252	121	144	89	247	22	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Rodentibacter"
"Rodentibacter haemolyticus"	"S"	2778911	2195	61	NA	173	278	38	89	81	118	492	75	1	5	98	5	NA	12	8	9	28	64	24	50	298	125	45	51	370	927	54	64	74	2195	33	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Rodentibacter"
"Basfia succiniciproducens"	"S"	653940	14	5	NA	2	NA	NA	NA	1	14	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	1	4	NA	1	1	2	7	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Basfia"
"[Mannheimia] succiniciproducens"	"S"	157673	68	1	NA	3	11	NA	NA	1	NA	1	NA	NA	NA	3	NA	NA	NA	1	10	14	19	13	NA	25	3	1	10	6	20	5	4	3	68	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Basfia"
"Frederiksenia canicola"	"S"	123824	18716	27	200	2	NA	2	NA	5	18	8	1	2	1	4	1	NA	10	2525	18716	16	8	11	108	27	62	133	59	19	14	49	68	5	24	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Frederiksenia"
"Otariodibacter oris"	"S"	1032623	95	22	NA	23	NA	5	81	9	1	NA	18	1	NA	28	NA	1	5	1	6	51	20	34	10	65	42	8	95	37	43	37	31	31	17	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Otariodibacter"
"Vespertiliibacter pulmonis"	"S"	1443036	41	21	NA	7	8	1	1	NA	3	NA	3	3	3	37	5	NA	4	NA	6	24	20	14	NA	41	12	1	16	39	2	32	40	10	32	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Vespertiliibacter"
"Mergibacter septicus"	"S"	221402	508	19	NA	122	110	15	82	56	55	98	56	1	2	159	9	NA	20	13	44	305	508	198	128	409	128	39	55	125	156	66	47	120	125	20	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mergibacter"
"Pseudomonas sp. CIP-10"	"S"	2892442	9218	594	9218	38	250	169	1346	23	523	9	123	200	113	35	21	60	19	5	43	80	28	545	586	14	699	326	712	32	132	13	57	53	316	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. OE 28.3"	"S"	2745519	6705	156	6705	6	20	1	2	NA	133	1	112	15	5	7	1	6	NA	NA	67	6	4	7	168	8	109	6	527	NA	7	1	1	1	19	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. S07E 245"	"S"	2866278	79	79	NA	NA	NA	5	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. GXZC"	"S"	3003351	434	49	434	7	78	24	89	2	178	3	10	13	4	9	NA	2	1	3	6	32	6	NA	39	NA	115	5	26	1	32	1	5	2	13	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. AE27"	"S"	3127460	1125	43	1125	NA	2	NA	NA	NA	NA	NA	7	10	NA	NA	1	NA	NA	NA	5	NA	4	NA	NA	NA	NA	1	45	1	NA	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. CCC3.1"	"S"	3048607	244	43	244	2	NA	NA	NA	NA	NA	1	17	12	NA	NA	3	7	5	NA	2	5	15	NA	8	1	NA	NA	124	3	NA	NA	3	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. J380"	"S"	2605424	1461	41	1461	NA	NA	NA	49	NA	24	NA	5	11	4	NA	NA	NA	1	NA	NA	5	NA	2	1	NA	21	NA	NA	NA	5	NA	NA	2	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. PONIH3"	"S"	1636610	41	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. HLS-6"	"S"	2049589	819	40	819	NA	25	14	NA	NA	24	NA	20	16	2	1	NA	1	NA	NA	16	NA	2	12	NA	NA	NA	12	127	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. 02C 26"	"S"	2054914	39	39	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	36	NA	2	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. SO81"	"S"	2983246	352	34	59	NA	16	26	30	NA	NA	2	NA	1	NA	4	NA	1	NA	NA	2	3	352	NA	27	NA	NA	NA	NA	NA	50	NA	NA	14	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. FP1762"	"S"	2954080	29	29	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. FP453"	"S"	2954094	810	29	810	NA	NA	12	8	NA	40	NA	11	2	NA	5	NA	NA	4	NA	9	NA	NA	NA	NA	NA	NA	15	91	1	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. CCOS 191"	"S"	1649877	76	28	2	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. MTM4"	"S"	2705472	61	27	NA	1	28	1	NA	2	30	NA	1	NA	1	6	1	NA	NA	7	4	37	48	19	NA	3	61	15	56	4	31	1	9	4	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. B21-036"	"S"	2895485	1095	26	1095	1	10	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	2	17	NA	1	NA	NA	NA	30	8	69	2	3	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. phDV1"	"S"	253237	1123	23	1123	NA	10	11	14	1	27	3	9	39	12	20	18	10	9	5	3	99	209	99	628	17	195	37	37	1	11	1	8	1	13	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. FP215"	"S"	2738126	22	22	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. AO-1"	"S"	2855434	321	21	321	1	18	5	56	NA	NA	2	12	NA	4	3	3	NA	NA	1	4	5	NA	4	5	NA	176	203	41	NA	4	NA	NA	NA	7	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. F3-2"	"S"	3141539	221	21	221	NA	19	NA	35	NA	25	NA	NA	20	NA	1	3	1	2	2	6	NA	4	4	NA	NA	52	NA	23	NA	8	NA	12	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. ML2-2023-3"	"S"	3122375	346	21	346	3	NA	3	18	NA	NA	NA	3	12	NA	3	NA	1	NA	NA	NA	7	5	2	5	1	NA	NA	22	NA	9	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. JBR1"	"S"	3020907	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. BT-42-2"	"S"	2986927	32	18	11	NA	NA	NA	21	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	32	NA	NA	NA	1	21	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. B14-6"	"S"	2738843	18	18	5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. NS1(2017)"	"S"	2025658	57	18	1	1	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	1	NA	57	NA	NA	1	9	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. HR96"	"S"	1027966	39	18	1	NA	14	NA	8	NA	NA	NA	1	NA	NA	NA	NA	1	3	NA	NA	NA	NA	NA	39	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. KNUC1026"	"S"	2893890	55	17	1	NA	NA	NA	NA	NA	55	NA	NA	5	NA	NA	1	14	NA	NA	NA	NA	NA	6	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. NIBR-H-19"	"S"	2901380	21	17	10	NA	NA	15	NA	NA	NA	2	3	21	NA	5	NA	NA	NA	NA	7	NA	NA	NA	1	NA	1	NA	7	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. Y5-11"	"S"	2749808	84	17	84	NA	10	NA	NA	NA	NA	1	2	NA	NA	1	4	NA	1	NA	1	NA	NA	NA	17	NA	NA	28	18	NA	6	NA	NA	1	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
