"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"14356","Stakelama><wbr>unclassified Stakelama><wbr>Stakelama sp. W311",3.48364590872996,0.485967502091291,0.406919836489741,1.19425857014848,0.232376838409187,0.50766826566542,0,0,4,2,2,2,11,10,8,1,22,1,2,7,0,3,5,5,8,2,6,8,10,1,6,11,1,0,3,7,3,1,0,0,1,2,1,2,0,6,2,2,0,6,2,10,7,6,12,0,3,0.146290795047377
"14360","Staphylococcaceae",122.972147743873,0.141927450151971,0.280485844399289,0.506005750329164,0.612852612890109,0.810944726230394,160,26,57,119,92,164,27,75,43,256,481,121,239,235,170,121,655,59,245,59,119,339,233,123,109,564,12,158,137,129,62,587,6,66,80,140,11,8,1,53,66,133,47,418,312,287,161,148,237,3,220,0.0427244197038478
"14361","Staphylococcus",289.686135121014,0.143550047185727,0.254649274954528,0.563716693131605,0.57294695485477,0.789424049066086,256,88,69,168,419,357,141,209,190,653,1049,356,404,197,407,338,1274,169,598,422,199,905,476,243,505,1355,50,172,214,289,189,700,13,163,259,158,20,23,11,1553,219,355,168,1012,608,230,428,226,662,3,684,0.0432128700818838
"14362","Staphylococcus agnetis",7.8888079207127,-0.309411765140934,0.594061396691419,-0.520841392597094,0.602477265394042,0.803144211504209,18,0,1,1,47,0,42,36,9,10,2,0,5,6,1,11,4,1,10,11,1,2,10,5,1,4,1,2,1,32,5,3,0,12,0,3,0,2,0,12,0,1,1,5,35,11,3,78,29,0,1,-0.09314222231876
"14363","Staphylococcus argenteus",2.39253946599072,0.418994853612851,0.619312381710816,0.676548485039814,0.498692473541351,0.733319048734775,4,1,0,0,0,3,0,2,2,10,10,1,2,0,1,1,27,1,5,0,0,4,1,0,1,3,0,1,0,2,0,2,0,0,1,0,0,1,1,4,0,2,0,7,4,5,0,1,3,1,0,0.126130018966307
"14364","Staphylococcus arlettae",5.74316421698676,1.02952383163407,0.576164103830488,1.78685868277723,0.0739603318637784,0.274600135627689,2,3,0,1,104,2,7,5,7,11,10,1,2,0,6,6,13,1,7,6,2,2,5,50,38,9,0,2,0,8,0,23,0,1,11,0,0,1,0,11,0,4,7,8,1,2,3,1,26,0,0,0.309917554572769
"14365","Staphylococcus aureus",134.505705931639,-0.436191298921136,0.299936983590576,-1.45427647400946,0.145869670230187,0.398435815750561,87,28,157,6,87,202,141,74,127,255,217,85,96,158,162,2462,246,22,176,183,30,257,116,173,75,173,90,179,139,333,62,133,10,45,166,749,12,33,22,563,62,190,257,57,285,373,80,287,184,1,123,-0.131306664822896
"14388","Staphylococcus capitis",3.74461119948524,-0.271160052178847,0.590055500860599,-0.459550079244,0.645839198293087,0.829864957424298,1,1,0,0,0,6,1,1,1,9,72,1,3,0,6,0,187,1,3,0,1,4,23,11,4,21,0,2,2,0,1,6,0,0,0,2,1,0,1,4,0,11,1,5,30,60,15,1,13,0,5,-0.0816273093316431
"14390","Staphylococcus caprae",3.01702421532826,0.854102543195761,0.662038504404561,1.29011007292384,0.197012442998966,0.465512317779602,1,0,0,2,0,6,0,1,0,3,9,5,19,2,11,0,37,1,38,1,1,16,8,1,0,35,0,0,0,0,1,5,0,3,12,0,0,0,0,0,2,13,0,1,5,0,5,0,10,0,7,0.257110484874815
"14393","Staphylococcus chromogenes",2.80150691638443,-0.401032266182328,0.522012865327916,-0.768242112060608,0.442343358878336,0.691187769827947,3,1,0,0,4,4,1,2,7,9,2,1,1,10,0,0,12,2,4,4,2,5,8,2,9,3,0,5,2,4,8,1,0,0,0,2,0,1,0,2,2,25,9,1,36,1,5,0,0,0,0,-0.120722741349983
