"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"5","[Clostridium] hylemonae",1230.25723648913,-0.581632471254549,0.254842225928761,-2.28232377556276,0.0224702318602329,0.154700608897551,1074,501,426,187,1435,2303,903,1956,1325,2147,2020,807,1482,2766,632,849,3030,842,3281,531,586,2723,1306,1421,1518,1191,93,1793,1583,982,798,1385,179,516,2014,1020,1002,197,542,11142,1182,873,817,1559,1223,1895,1549,2074,607,16,601,-0.175088820299787
"7","[Clostridium] scindens",23964.7264173811,-1.39687490837566,0.426214406786952,-3.2773995579035,0.001047679980393,0.0304012079016393,15906,14861,6782,1921,34891,23358,10732,13944,6849,12143,14322,12528,11237,63740,9670,19092,12566,12231,35770,30804,7428,21829,5555,12162,28654,8735,1057,39584,31905,8697,4196,10285,882,2613,102970,361752,2729,957,4934,357622,36607,9840,9220,11421,9642,32292,8278,12994,9817,117,11088,-0.420501247611448
"9","[Enterobacter] lignolyticus",9.39496654417162,-1.6817575404103,0.458012286964794,-3.67186118860513,0.000240790465891087,0.0146628847073059,10,1,0,0,3,1,10,3,2,1,21,5,9,1,23,13,10,4,5,4,6,14,6,8,2,9,1,32,8,33,5,4,1,1,10,2,2,2,0,3,3,17,123,7,17,40,95,4,5,0,5,-0.506259465097581
"12","[Haemophilus] ducreyi",2.12019607565288,0.732582865010847,0.588766606115124,1.24426701073397,0.213401308196316,0.484229676174533,2,0,2,0,38,8,1,2,1,13,2,0,5,4,0,1,3,4,2,8,1,2,10,0,0,2,0,4,3,0,1,11,0,2,9,0,0,0,0,1,0,1,4,1,1,1,1,0,0,0,1,0.220529416677722
"14","[Leptolyngbya] sp. PCC 7376",13.3678722591286,1.58375052715119,0.831234136143296,1.9053001534554,0.056741065547167,0.240880960709272,46,1,0,1,0,23,1,0,41,1,0,98,3,48,3,16,0,6,3,0,0,3,12,64,229,10,0,0,10,0,31,1,0,0,0,0,0,0,6,2,0,2,2,2,13,9,0,60,11,1,1,0.47675641432115
"21","[Mycoplasma] mobile><wbr>Mycoplasma mobile 163K",2.53762689326499,-0.636128664771361,0.505575426674404,-1.25822702451287,0.208309664143948,0.480439915863148,7,0,0,0,4,13,1,4,3,2,5,5,2,0,1,1,4,1,6,1,4,13,2,5,0,10,0,1,0,1,1,23,0,0,1,6,0,0,0,2,1,18,1,12,11,2,29,1,1,0,1,-0.191493809197857
"26","[Ruminococcus] lactaris><wbr>[Ruminococcus] lactaris ATCC 29176",23720.4655694381,-1.28650759949095,0.384302429873717,-3.34764367717815,0.000815017282716613,0.0269967237452951,38893,3928,24164,6690,21118,7420,2701,12928,2928,13962,25996,66587,7480,18391,31020,10293,52383,9073,124854,3083,4853,16314,4510,7333,12015,6248,698,16096,12058,17273,134027,14962,2626,1063,8539,34479,2280,1438,3284,179145,11241,124051,128842,81152,27330,63444,4508,100815,65381,543,20870,-0.387277377096439
"27","[Ruminococcus] torques",50453.1663787892,1.33519658058128,0.52486826051471,2.54386992132449,0.010963190290085,0.109921580693067,226174,320762,96699,614,29026,15957,59994,24962,1582,5650,177091,49625,17561,125335,111768,161841,10700,3992,17064,12651,41196,246633,13037,4678,16383,63148,4260,11226,68699,12321,7957,15926,677,1050,10655,6741,7083,404,703,199402,23090,23038,83791,139668,5626,111733,136085,47990,2588,280,3226,0.401934220862945
"29","16SrI (Aster yellows group)",2.58288051198123,-0.0829305567705836,0.879175976283095,-0.0943275965310044,0.924848928782814,0.96792293998706,4,0,0,5,0,1,0,0,0,0,18,11,0,0,2,0,4,4,1,0,0,24,2,0,0,39,0,0,2,0,1,0,0,0,0,0,0,0,0,0,24,16,0,22,1,2,4,1,13,0,5,-0.0249645851450603
"36","Abiotrophia defectiva ATCC 49176",75.1929243120303,1.88992655184923,0.582616292575073,3.24386148471072,0.00117921075800474,0.0324974674259073,42,438,5,0,17,21,2,125,17,333,14,45,17,3,26,22,87,149,818,120,9,527,418,114,323,14,1,12,31,35,9,57,0,0,19,1,1,21,8,125,6,35,64,14,69,14,7,2,243,0,63,0.568924581708417
"37","Abiotrophia><wbr>Abiotrophia defectiva",38.2900968984369,1.05256963620444,0.460006766473491,2.28816120309199,0.0221281351375426,0.153311925047047,24,206,20,0,23,18,4,59,19,105,16,40,12,4,14,20,15,65,276,44,5,233,122,52,114,23,3,6,6,50,7,34,0,9,33,10,3,16,4,168,14,53,30,25,26,34,12,11,49,0,36,0.316855033022661
"38","Abyssalbus><wbr>Abyssalbus ytuae",2.63112330206919,0.819154254920057,0.53105649536762,1.54249926715048,0.122952315887618,0.362970541157163,3,1,2,1,3,3,10,13,6,2,2,6,9,0,0,6,1,1,16,0,2,6,15,9,8,1,0,0,0,3,3,1,0,0,0,0,0,0,0,17,1,4,1,0,0,4,3,4,12,0,4,0.246590001806716
"39","Abyssibius><wbr>Abyssibius alkaniclasticus",2.05108307515368,0.119469296504618,0.472353137637224,0.252923685660733,0.800327185898874,0.91060150855386,0,1,3,0,8,5,7,0,1,4,9,2,0,2,3,0,4,1,7,0,3,2,3,2,1,12,0,0,3,1,4,0,1,2,0,0,1,0,0,4,0,2,2,1,4,18,4,1,5,0,1,0.0359638418087641
"44","Acanthopleuribacterales><wbr>...><wbr>Sulfidibacter corallicola",7.31720001006318,-0.821025666191234,0.374846192418104,-2.19030013589003,0.0285024769971919,0.173646470196179,2,1,0,0,5,6,7,9,3,3,32,8,7,6,6,6,14,4,17,1,9,41,11,1,0,29,3,1,29,4,8,47,0,5,30,14,0,4,1,13,2,9,2,25,11,22,31,5,12,0,3,-0.247153352733564
"51","Aceticella><wbr>Aceticella autotrophica",20.4580698126927,0.531476094138426,0.30084384322546,1.76661781886666,0.0772922547635435,0.279602438423835,44,2,6,6,12,33,12,14,2,39,72,14,24,50,10,59,45,16,112,9,29,116,21,25,113,35,2,4,32,32,14,15,0,4,8,47,3,5,5,19,17,19,11,8,20,43,37,37,31,1,17,0.159990246314
"53","Acetivibrio",9.16500296548346,-1.2219614718513,0.500050590550285,-2.44367568990686,0.0145384889285568,0.124888273695424,3,0,0,2,52,15,1,4,5,2,10,2,9,1,17,6,12,2,17,0,13,29,4,1,3,39,1,1,17,2,1,193,3,1,8,3,2,0,3,1,3,8,4,16,4,55,39,5,22,0,14,-0.367847056572949
"54","Acetivibrio clariflavus><wbr>Acetivibrio clariflavus DSM 19732",38.4609677742028,-0.0913316910819476,0.214149350727449,-0.426485958382319,0.669753777619117,0.841118510994373,67,7,23,10,98,38,11,35,27,110,156,23,57,95,32,29,71,33,134,39,53,202,95,18,17,89,1,29,73,46,32,65,9,17,88,58,3,5,0,42,48,44,35,103,89,73,68,35,97,0,101,-0.0274935785703828
"55","Acetivibrio saccincola",34.6294496576049,0.133079221331221,0.329058299871317,0.404424448139627,0.685900625087121,0.851206989573526,62,5,19,8,137,41,56,36,23,56,119,66,82,20,14,42,186,13,164,4,36,47,33,19,79,157,0,2,43,53,19,56,3,15,26,198,0,11,3,16,34,34,8,38,99,110,37,33,33,0,72,0.0400608374203035
"56","Acetivibrio thermocellus",46.9026473132652,0.0344227180645326,0.296816512017729,0.115973056318634,0.907673895624169,0.959492628653285,74,7,8,7,63,31,29,29,19,123,149,54,93,17,44,119,246,21,109,9,54,124,40,82,142,167,11,22,20,37,39,112,13,3,31,21,4,4,41,111,34,20,33,57,126,120,89,42,110,0,107,0.0103622706697087
"59","Acetoanaerobium><wbr>Acetoanaerobium sticklandii",22.7975293859129,-0.159525594909212,0.396860678311066,-0.401968760392465,0.687707017202386,0.852376561773711,23,31,4,5,115,30,3,12,5,39,16,33,20,4,50,55,37,5,74,5,23,53,57,1,28,140,1,58,12,19,11,157,1,14,28,10,1,0,3,15,24,27,20,2,159,26,31,7,39,0,65,-0.0480219891438141
"60","Acetobacter",27.5883304249309,0.52886815846806,0.583594492135905,0.906225410956927,0.364816555731503,0.632562414560106,5,0,5,0,3,12,8,57,145,5,13,10,9,47,22,4,4,6,12,265,0,36,98,49,2,24,20,2,10,8,116,8,4,0,65,9,0,1,3,15,2,17,13,9,104,12,203,12,32,1,9,0.159205179450458
"63","Acetobacter ghanensis",2.81685501531346,-2.13095880035082,0.656809590096821,-3.24440877916641,0.00117694708355237,0.0324974674259073,1,1,1,0,0,0,1,0,1,0,3,0,1,0,0,0,4,0,4,1,1,3,0,5,0,3,3,2,0,20,6,5,0,0,0,4,0,6,0,1,17,0,1,5,4,0,3,2,4,0,8,-0.641482518429729
"69","Acetobacter persici",2.16508306301705,-0.895610832861316,0.475769991106377,-1.88244498308652,0.0597756231816674,0.247584508106772,0,0,0,1,1,0,2,2,2,3,4,0,4,0,0,0,4,2,3,6,4,1,5,1,0,7,0,0,1,6,3,4,2,2,2,2,0,0,1,6,0,1,1,4,4,6,18,2,1,0,3,-0.269605725132857
"71","Acetobacter senegalensis",2.72802095485723,0.943665875684364,0.561556265764797,1.68044759397202,0.0928702625499366,0.310385504850161,2,0,1,0,3,2,7,31,1,16,6,0,3,2,3,12,1,10,2,4,2,9,4,9,0,3,0,2,1,5,0,0,0,0,0,0,0,0,0,2,0,4,11,8,3,2,9,5,1,0,0,0.284071734465511
"75","Acetobacteraceae",49.2061219471767,-0.782783048076047,0.269822961920951,-2.90109871488764,0.00371856714796092,0.058742387885948,51,3,66,7,90,30,71,38,47,58,90,44,49,12,107,27,86,25,68,35,20,120,46,30,17,86,3,9,136,46,75,170,4,26,36,152,8,6,30,59,42,116,28,177,57,145,297,49,73,1,39,-0.235641177568171
"76","Acetobacterium",26.353479082094,0.223137350772237,0.332359439308009,0.671373592508225,0.501982563375349,0.735424262302121,38,1,17,3,55,20,2,28,18,21,126,57,51,7,30,18,268,27,79,7,18,75,24,11,3,224,10,3,12,27,15,15,0,7,67,30,6,6,5,40,27,32,28,21,123,54,24,37,25,1,69,0.0671710357354389
"77","Acetobacterium wieringae",38.5859856804822,-0.448182859068001,0.276118864191437,-1.62315190010802,0.104556937224516,0.330839878979177,65,43,18,8,21,15,21,19,25,93,71,8,37,33,43,10,136,33,40,7,22,78,81,65,73,84,5,72,102,23,15,65,5,23,42,18,5,5,6,107,71,57,74,39,41,116,47,166,106,1,21,-0.134916484121911
"78","Acetobacterium woodii><wbr>Acetobacterium woodii DSM 1030",18.7285456983132,-2.01049197863219,0.506633246059848,-3.96833803203411,7.23756226593566e-05,0.0079339765906357,4,15,1,3,11,14,11,8,2,7,30,18,20,6,10,4,6,5,41,4,6,18,16,10,4,3,0,6,18,7,7,4,0,5,101,288,1,0,0,43,5,8,5,6,4,13,6,141,14,0,274,-0.605218391610118
"79","Acetobacteroides><wbr>environmental samples><wbr>uncultured Acetobacteroides sp.",29.2857596852314,0.212038727930134,0.483751881272859,0.438321247190218,0.661153425815005,0.837454666482624,8,3,5,3,18,3,14,70,113,11,14,17,35,10,2,7,19,12,44,33,23,15,63,20,13,62,64,22,15,2,113,33,0,2,4,2,25,4,16,7,24,32,31,26,144,67,20,9,24,0,12,0.0638300173494043
"80","Acetohalobium><wbr>Acetohalobium arabaticum><wbr>Acetohalobium arabaticum DSM 5501",3.87965416223631,-0.0499000367741306,0.4359240359088,-0.114469569612285,0.908865567740418,0.959492628653285,3,2,1,0,9,17,0,4,3,8,9,2,2,0,0,2,24,0,4,4,0,14,26,20,6,13,0,5,3,17,2,6,0,0,26,3,0,0,1,5,4,4,3,13,4,8,11,3,4,0,2,-0.015021407853749
"81","Acetomicrobiaceae><wbr>...><wbr>Acetomicrobium mobile DSM 13181",2.81473971671894,0.689738328780882,0.469564462041539,1.4688895445411,0.141862750975275,0.394036571261841,0,2,1,0,2,4,16,7,8,5,7,5,5,2,11,1,14,2,3,2,1,9,7,0,1,8,0,0,7,4,3,0,0,2,0,2,0,0,1,1,0,4,1,6,3,18,1,5,5,0,0,0.207631926122191
"83","Acholeplasma hippikon",16.9135849130673,-0.621254096475914,0.674340197354951,-0.9212769740151,0.356905839606315,0.627611803410346,12,88,0,3,2,8,2,4,0,8,36,13,2,2,21,0,14,2,18,0,8,16,3,5,0,85,0,33,24,2,0,51,1,23,34,31,0,1,0,2,11,27,0,183,11,3,182,1,9,0,8,-0.187016117968375
"84","Acholeplasma laidlawii",14.1722650641753,-0.397975734698981,0.555275402186453,-0.716717746062425,0.473548273738479,0.714099351151615,26,0,0,2,6,2,1,1,6,5,71,17,4,3,7,31,105,2,29,2,11,72,6,8,82,68,0,0,16,14,8,43,0,26,3,8,0,1,0,15,2,4,0,152,46,11,23,24,98,0,9,-0.119802633690804
"85","Acholeplasmatales><wbr>Acholeplasmataceae",25.5510615809737,-0.641354681049281,0.600001184714834,-1.06892235780185,0.285104656552697,0.564321865743989,19,9,4,9,4,8,3,4,4,14,127,72,46,56,9,7,163,4,2,6,1,56,151,12,1,140,0,59,59,4,4,305,0,2,0,9,1,0,0,23,25,6,0,9,249,19,112,0,45,0,141,-0.193066996855339
"86","Achromobacter",35.5530463565722,-0.0213096157842071,0.27479130721581,-0.0775483620647117,0.938187319711336,0.975358914254167,71,2,30,23,58,26,27,48,29,29,89,20,42,19,139,45,67,15,80,22,50,144,106,36,10,49,1,35,25,29,53,109,2,27,17,47,3,3,1,28,46,76,13,64,101,112,128,16,35,2,40,-0.00641483354712096
"88","Achromobacter deleyi",4.80577796295978,0.190805285105315,0.451621569153394,0.422489309939285,0.672667901871325,0.842842458707454,13,0,2,0,40,1,5,6,2,2,12,1,10,8,28,3,13,3,8,1,4,3,11,4,5,3,1,3,1,1,2,7,4,1,0,0,0,1,1,1,8,10,2,21,2,15,22,0,8,0,4,0.0574381141479176
"90","Achromobacter insolitus",2.098351039186,-0.178729521717453,0.560980255504132,-0.31860216106329,0.750028214493408,0.884006037036456,1,0,1,0,8,0,4,3,3,3,10,0,4,0,1,18,4,4,4,0,0,3,2,1,0,10,0,0,0,1,1,9,0,1,0,0,1,0,0,6,5,3,16,2,2,3,1,0,2,0,8,-0.0538029471476304
"93","Achromobacter ruhlandii",3.6136800937584,-2.36311284923252,0.608998098246671,-3.88032878269409,0.000104315357140702,0.00935613921409243,4,0,0,2,5,0,0,2,0,0,4,0,0,0,2,0,3,3,1,0,0,7,0,0,0,6,0,1,2,3,3,5,1,2,0,30,1,1,2,1,1,10,0,20,2,3,27,0,2,1,2,-0.711367850757964
"94","Achromobacter seleniivolatilans",3.64537308635217,1.15029438170637,0.573341367752006,2.0062992946358,0.0448243252466269,0.215515006278373,0,0,22,0,0,9,8,9,8,10,2,2,1,0,2,1,2,3,5,1,2,2,3,1,0,14,2,1,4,1,2,5,0,1,0,2,1,0,0,6,0,4,1,3,0,5,1,0,2,1,2,0.346273112737372
"101","Achromobacter spanius",3.65477794563972,0.00533607471794747,0.462187575835022,0.011545257806437,0.990788421685994,0.995632365894685,3,0,2,0,0,7,0,9,2,3,22,6,5,2,0,4,12,2,11,0,9,7,10,3,2,6,0,1,0,2,2,13,0,0,0,4,0,0,2,7,0,3,7,11,10,9,5,1,7,1,0,0.00160631854920641
"102","Achromobacter veterisilvae",3.66494098549165,-0.887034896361042,0.470442526817925,-1.88553297330696,0.0593579170422734,0.24723315649444,2,0,0,2,7,1,3,6,1,0,3,2,6,7,3,3,8,0,2,1,4,9,6,0,0,35,0,0,10,0,5,7,1,3,5,2,0,0,6,10,2,7,1,9,3,24,5,3,27,0,0,-0.267024111005364
"103","Achromobacter xylosoxidans",6.4950058605489,0.24665758755985,0.404677328460633,0.609516694444237,0.542182010541943,0.768558579886036,9,0,6,0,6,3,6,1,5,1,72,4,9,1,5,11,77,3,16,8,7,20,7,8,6,18,0,4,5,5,10,9,3,0,2,16,0,0,6,5,5,18,3,25,4,9,5,2,3,0,11,0.0742513325136297
"106","Acidaminococcales><wbr>Acidaminococcaceae",90.6105915964227,1.18199422576142,0.438168436770116,2.69757957573187,0.00698455891981185,0.0857639999980386,69,35,103,1,31,61,80,250,54,70,562,106,44,170,21,104,19,1066,81,25,35,119,8,445,95,41,39,12,6,21,136,12,4,24,54,111,12,3,16,184,60,212,217,56,55,48,46,95,45,1,17,0.355815716655812
"107","Acidaminococcus",6.99006051364087,3.3303137009365,0.957193984741156,3.47924637432514,0.000502826077419031,0.0221467949991793,12,1,0,2,10,0,0,0,0,0,68,1,0,105,1,1,44,3,1,0,0,0,91,167,0,3,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,7,1,2,3,1,1,0,0,1,1.00252431895261
"108","Acidaminococcus fermentans><wbr>Acidaminococcus fermentans DSM 20731",179.249227514332,0.9754622611625,0.484573253841371,2.01303364027975,0.0441110904595325,0.214430800293634,711,13,58,195,125,37,89,169,40,45,206,97,186,786,295,20,110,2240,145,12,41,165,449,336,45,161,27,5,68,51,68,563,5,34,115,53,8,14,24,150,38,138,108,128,74,2667,163,80,57,0,33,0.293643400248125
"110","Acidaminococcus intestini RyC-MR95",216.775640949788,0.312591207566312,0.872208948774292,0.358390277932362,0.720051266213357,0.869449295741109,577,1,1,142,2,2,2,570,4,6,29,22,1402,114,0,0,408,75,8,0,1,101,2498,1641,6,1520,123,4,6,173,4,278,5,1,63,1,3,20,2,0,0,35,4165,2,2,13,20,4,5,0,80,0.0940993298582856
"118","Acididesulfobacillus><wbr>Acididesulfobacillus acetoxydans",20.9433404046133,1.36194212202062,0.478672280196987,2.84524961725408,0.00443766321945375,0.0649584351975232,9,30,98,7,10,6,161,91,8,114,35,8,7,2,4,5,25,6,31,1,20,39,32,1,2,45,2,1,10,10,23,26,3,6,2,14,10,0,2,17,7,32,3,12,40,15,14,10,12,0,11,0.409985431086459
"120","Acidiferrobacter thiooxydans",2.5933927957889,-0.317477524862031,0.896354378940878,-0.354187509227276,0.723198363842628,0.87055576594331,3,0,0,11,1,0,1,0,0,0,9,0,0,2,1,3,2,0,2,0,0,30,0,0,0,5,0,0,13,0,12,2,0,0,0,6,0,0,0,0,8,1,0,4,38,4,4,0,1,0,0,-0.0955702579326287
"125","Acidihalobacter yilgarnensis",2.98766018530468,-0.50758076177823,0.390018379843123,-1.30142779933191,0.193112063293974,0.461094776490403,4,2,2,0,2,11,9,2,4,2,8,3,6,0,1,3,8,2,6,2,2,8,0,1,0,3,0,0,5,1,5,23,0,1,2,2,1,1,1,7,9,4,4,6,5,10,1,3,5,0,2,-0.152797034517221
"129","Acidilutibacteraceae><wbr>Acidilutibacter><wbr>Acidilutibacter cellobiosedens",30.7589236913831,0.654785937115489,0.338849226717065,1.93238138230201,0.0533124502482124,0.233354318610853,42,18,16,14,26,16,10,14,3,136,97,7,31,378,84,38,63,11,88,36,32,68,40,26,20,71,1,29,36,15,23,88,5,6,80,16,2,3,2,27,20,49,14,16,31,27,29,21,69,0,69,0.197110207810712
"138","Acidipropionibacterium",2.09968269803858,-0.162397711153603,0.476023202614493,-0.34115503248929,0.732986873583256,0.876563453911807,1,0,0,0,3,2,2,2,1,0,9,0,3,0,7,0,9,1,19,0,1,25,2,2,1,12,0,0,1,0,3,9,1,1,0,4,0,0,0,3,4,5,5,6,2,8,6,2,3,0,4,-0.0488865822844097
"139","Acidipropionibacterium acidipropionici",2.33387781634117,-0.00363060673501777,0.39569419338185,-0.00917528433760509,0.992679285002953,0.996112065280628,10,0,2,0,2,0,1,9,1,2,14,2,2,3,0,3,5,3,7,0,0,5,3,3,13,6,0,2,3,2,4,6,0,2,0,1,2,0,0,2,3,5,0,5,10,7,5,2,3,0,3,-0.00109292152970002
"141","Acidipropionibacterium jensenii",5.82307292241926,-0.192084022365426,0.448799744529928,-0.427994945867481,0.668654800061901,0.841050333929309,10,0,2,0,9,23,5,3,7,1,20,1,2,2,30,2,17,3,33,0,3,8,6,0,4,52,1,5,21,6,1,19,1,2,0,5,1,0,0,2,22,22,15,13,11,19,13,0,7,0,6,-0.0578230524197843
"142","Acidipropionibacterium virtanenii",6.11677317707308,-1.14042063319301,0.468200387119455,-2.43575328975977,0.0148608162933789,0.125846085366826,3,0,1,4,13,0,0,5,16,0,31,2,5,1,1,1,14,1,3,0,0,23,19,8,0,20,0,0,8,8,17,19,2,1,5,9,0,3,1,10,12,23,9,18,26,12,25,0,11,0,27,-0.343300818265206
"144","Acidisoma><wbr>unclassified Acidisoma><wbr>Acidisoma sp. PAMC 29798",2.51679889117039,-0.440137449060585,0.401994878521055,-1.09488322507953,0.27356779906179,0.554441229569354,2,0,0,0,0,3,3,6,3,2,7,0,2,9,1,1,8,3,3,0,2,5,7,2,0,10,1,0,4,4,4,5,3,0,1,2,0,0,0,3,0,11,1,4,5,6,12,1,8,0,4,-0.132494574382264
"145","Acidithiobacillia><wbr>...><wbr>Acidithiobacillus",13.5247304186777,-1.13845414214789,0.418854030088689,-2.71802122067879,0.00656736259624813,0.0835827635754393,1,6,2,0,9,19,2,13,29,2,28,9,15,4,3,8,10,2,3,25,2,55,19,2,1,47,1,5,13,23,14,27,0,2,2,14,6,1,3,99,16,38,3,45,7,54,72,6,2,2,53,-0.342708845474421
"156","Acidithiobacillus thiooxidans><wbr>Acidithiobacillus thiooxidans ATCC 19377",4.21400968306553,1.28496684332752,0.62744018783029,2.04795113263462,0.0405647878936579,0.205529516324317,4,3,0,0,2,7,3,13,0,76,0,2,18,0,1,7,0,8,18,0,0,5,2,31,0,1,1,3,0,3,0,1,1,3,2,0,1,1,0,1,5,1,5,9,1,1,3,5,2,0,2,0.386813563275244
"157","Acidobacteriaceae",12.792027383667,-0.231070302114882,0.335117374848434,-0.68952050671616,0.49049577295971,0.727703954288797,15,1,12,3,8,31,9,32,9,8,69,31,13,5,18,2,54,3,33,3,5,59,29,19,1,19,2,13,26,8,13,66,3,3,3,26,3,0,3,4,23,32,15,75,8,37,10,7,17,0,9,-0.0695590920437176
"158","Acidobacteriota",11.6289487271158,-0.703333769721768,0.538230876837329,-1.3067510616533,0.191297270701664,0.458586677776972,4,0,1,3,18,1,7,2,1,1,54,2,2,4,76,0,54,5,23,19,3,15,8,1,2,76,0,0,65,1,16,32,2,12,2,12,0,0,2,14,1,19,4,49,14,50,74,3,77,0,16,-0.211724561649675
"159","Acidobacterium><wbr>Acidobacterium capsulatum><wbr>Acidobacterium capsulatum ATCC 51196",4.91084065350898,-0.478693457881026,0.394363713915476,-1.21383748298816,0.224809789761059,0.498197076770577,4,0,2,0,8,7,6,15,4,3,33,8,8,3,1,1,12,2,14,1,9,15,3,3,0,4,3,0,7,1,2,14,0,0,4,11,0,0,2,18,7,10,7,33,26,33,5,2,4,0,8,-0.144101089550301
"160","Acidocella><wbr>unclassified Acidocella><wbr>Acidocella sp. MX-AZ03",8.8120608980279,-0.750823635290287,0.494768487734568,-1.51752517369919,0.129134142658809,0.372307846718822,6,0,5,7,1,3,2,3,3,1,11,1,8,1,74,4,11,1,17,1,4,46,14,4,2,6,0,1,12,6,7,61,3,21,1,11,1,1,1,2,2,35,3,11,23,21,44,1,8,0,8,-0.22602043567585
"162","Acidovorax",4.45285354751717,-0.146487699418261,0.530632198208037,-0.276062590835904,0.782499992742968,0.900231315659868,4,0,1,2,21,1,4,0,3,3,12,3,13,0,30,1,4,1,4,4,1,10,4,3,0,24,1,1,4,0,1,4,4,4,0,2,0,0,2,0,2,7,3,19,5,20,31,0,4,0,1,-0.0440971915207058
"164","Acidovorax radicis",3.09273299891048,-0.0398173057481435,0.534641991428178,-0.0744747071620401,0.940632666025852,0.976123308349031,2,0,2,0,1,0,5,12,1,1,2,5,0,0,0,1,7,4,2,0,12,11,1,5,1,29,3,0,15,3,1,1,1,2,1,1,0,0,1,3,1,8,3,8,2,28,2,0,10,0,1,-0.0119862033767151
"165","Acidovorax sp. 1608163",2.1105459091042,0.424051172942781,0.581015205558661,0.729845224162499,0.465484797422997,0.707658168906504,2,0,14,0,2,1,3,14,3,5,3,1,2,0,0,0,1,4,3,0,2,0,8,0,0,11,1,2,0,0,5,5,0,0,0,4,0,0,1,3,0,5,3,4,10,4,1,1,2,0,0,0.127652122752272
"171","Acidovorax sp. JMULE5",2.21900131892888,0.212219641276891,0.452205428195396,0.46929919024588,0.638855793977284,0.827467041552484,3,0,1,1,1,6,0,5,3,4,4,6,2,4,0,6,3,1,8,6,3,13,9,3,0,1,0,5,0,7,2,5,1,0,9,0,0,0,0,9,0,4,1,3,3,1,5,0,0,0,1,0.0638844776933941
"176","Acidovorax temperans",5.57868751609769,-1.58196849760303,0.562835278348703,-2.81071311351405,0.00494318402123129,0.070071053956132,1,0,0,1,4,2,2,1,10,0,8,1,7,0,0,4,7,4,5,0,1,17,10,2,0,35,2,0,85,3,4,30,0,19,1,5,0,1,0,7,3,9,0,9,4,7,7,2,6,0,21,-0.476219969973994
"177","Acinetobacter",127.785761764401,-0.0511328493933972,0.311895068393855,-0.163942474809597,0.869776429375152,0.943834102082135,127,16,84,29,176,134,53,107,188,173,145,117,200,154,46,129,71,398,632,158,126,151,219,99,407,213,12,102,30,127,62,212,4,49,137,1023,14,19,7,102,97,149,170,88,396,183,75,211,58,7,100,-0.0153925214311814
"178","Acinetobacter baumannii",7.09489688491141,0.130529087917646,0.475833506008243,0.274316722697086,0.783841234392518,0.901090661808426,7,0,13,0,17,1,12,13,2,12,34,17,4,9,1,17,2,22,9,8,15,11,7,8,4,4,0,26,1,4,1,1,1,2,3,4,1,1,11,4,2,2,6,29,24,7,0,6,0,0,3,0.0392931707698723
"192","Acinetobacter calcoaceticus/baumannii complex",13.7840822845501,0.531767988334777,0.429460268013704,1.23822394745446,0.215633034357273,0.486449561551031,30,2,5,1,8,18,13,4,57,23,19,26,3,16,5,29,3,9,30,11,18,20,72,36,81,31,0,3,4,26,23,7,1,0,8,0,0,10,3,28,0,31,7,3,56,21,13,21,9,0,14,0.160078115222662
"194","Acinetobacter colistiniresistens",13.7810898375775,0.334676611822873,0.834948213199922,0.400835173405824,0.688541480734246,0.852390652778726,8,0,27,2,162,2,64,0,19,3,27,21,117,1,0,0,2,8,72,0,15,0,27,2,4,0,0,0,1,3,0,0,5,16,16,129,0,0,0,1,2,0,0,9,0,91,19,8,26,0,0,0.100747699005876
"201","Acinetobacter haemolyticus",20.2660909254367,0.330778875655512,0.476052606594902,0.694836812304209,0.487157575397191,0.724494518973272,65,0,11,1,9,111,1,16,3,3,90,20,13,35,23,41,164,21,33,18,32,56,17,0,1,144,9,14,4,12,26,41,1,1,115,2,0,9,0,1,43,66,16,7,7,11,14,15,35,0,76,0.0995743635043153
"203","Acinetobacter johnsonii",11.0159186666544,-1.03794251563385,0.585870688272262,-1.77162390338173,0.076457009078419,0.278019373193242,5,16,1,1,4,8,18,23,10,13,1,1,10,8,0,10,2,13,46,3,4,12,16,7,3,6,0,23,0,62,7,5,0,55,2,2,0,2,3,10,0,104,1,5,24,5,0,1,5,0,1,-0.312451830980719
"205","Acinetobacter junii",2.09151242191802,0.673729437822756,0.789296518489229,0.85358217354401,0.39333653923952,0.654852901811864,11,0,0,0,0,8,0,0,8,5,0,1,2,0,0,7,1,86,81,1,0,1,1,1,0,7,0,2,0,1,11,1,0,0,0,0,1,0,1,4,0,0,4,2,6,0,0,2,0,0,2,0.202812769746481
