"","Sample","Gender","Age","tissue"
"135","SRR2245986","Female",10,"Oral"
"136","SRR2228576","Male",10,"Oral"
"137","SRR2245649","Male",10,"Oral"
"138","SRR2222391","Female",55,"Oral"
"139","SRR2226398","Male",15,"Oral"
"140","SRR2246373","Female",45,"Oral"
"141","ERR589441","Female",39,"Gut"
"142","ERR589442","Female",59,"Gut"
"143","ERR589443","Female",59,"Gut"
"144","ERR589485","Female",62,"Gut"
"145","ERR589501","Male",58,"Gut"
"146","ERR589503","Female",45,"Gut"
"147","ERR589504","Female",38,"Gut"
"148","ERR589505","Female",32,"Gut"
"149","ERR589506","Female",32,"Gut"
"150","ERR589507","Female",51,"Gut"
"151","ERR589508","Female",48,"Gut"
"152","ERR589509","Female",35,"Gut"
"153","ERR589510","Female",53,"Gut"
"154","ERR589511","Female",61,"Gut"
"155","ERR589512","Female",37,"Gut"
"156","ERR589513","Female",54,"Gut"
"157","ERR589527","Female",37,"Gut"
"158","ERR589528","Female",51,"Gut"
"159","ERR589529","Male",33,"Gut"
"160","ERR589530","Female",64,"Gut"
"161","ERR589531","Female",50,"Gut"
"162","ERR589532","Female",61,"Gut"
"163","ERR589533","Female",42,"Gut"
"164","ERR589534","Female",36,"Gut"
"165","ERR589535","Female",46,"Gut"
"166","ERR589536","Male",55,"Gut"
"167","ERR589537","Female",59,"Gut"
"168","ERR589538","Female",27,"Gut"
"169","ERR589539","Female",40,"Gut"
"170","ERR589540","Female",44,"Gut"
"171","ERR589542","Male",48,"Gut"
"172","ERR589543","Female",56,"Gut"
"173","ERR589544","Male",58,"Gut"
"174","ERR589545","Male",42,"Gut"
"175","ERR589546","Female",57,"Gut"
"176","ERR589547","Female",41,"Gut"
"177","ERR589548","Male",44,"Gut"
"178","ERR589549","Male",57,"Gut"
"179","ERR589550","Female",43,"Gut"
"180","ERR589551","Male",46,"Gut"
"181","ERR589552","Female",38,"Gut"
"182","ERR589553","Female",36,"Gut"
"183","ERR589554","Female",39,"Gut"
"184","ERR589555","Female",27,"Gut"
"185","ERR589558","Male",56,"Gut"
"186","ERR589560","Male",53,"Gut"
"187","ERR589561","Female",59,"Gut"
"188","ERR589563","Female",62,"Gut"
"189","ERR589565","Female",61,"Gut"
"190","ERR589566","Female",36,"Gut"
"191","ERR589567","Male",53,"Gut"
"192","ERR589568","Female",53,"Gut"
"193","ERR589569","Male",57,"Gut"
"194","ERR589570","Female",55,"Gut"
"195","ERR589571","Female",35,"Gut"
"196","ERR589572","Female",65,"Gut"
"197","ERR589574","Male",50,"Gut"
"198","ERR589575","Female",26,"Gut"
"199","ERR589576","Female",59,"Gut"
"200","ERR589577","Female",49,"Gut"
"201","ERR589578","Female",36,"Gut"
"202","ERR589579","Male",26,"Gut"
"203","ERR589580","Female",55,"Gut"
"204","ERR589581","Male",60,"Gut"
"205","ERR589582","Female",47,"Gut"
"206","ERR589583","Female",36,"Gut"
"207","ERR589585","Female",36,"Gut"
"208","ERR589586","Female",56,"Gut"
"209","ERR589587","Female",44,"Gut"
"210","ERR589589","Female",49,"Gut"
"211","ERR589590","Male",47,"Gut"
"212","ERR589591","Female",41,"Gut"
"213","ERR589592","Female",46,"Gut"
"214","ERR589593","Male",34,"Gut"
"215","ERR589594","Female",48,"Gut"
"216","ERR589595","Female",52,"Gut"
"217","ERR589732","Male",49,"Gut"
"218","ERR589733","Male",36,"Gut"
"219","ERR589734","Female",36,"Gut"
"220","ERR589735","Female",53,"Gut"
"221","ERR589736","Female",34,"Gut"
"222","ERR589737","Female",34,"Gut"
"223","ERR589738","Female",51,"Gut"
"224","ERR589740","Female",39,"Gut"
"225","ERR589741","Male",41,"Gut"
"226","ERR589742","Male",57,"Gut"
"227","ERR589744","Female",54,"Gut"
"228","ERR589745","Female",40,"Gut"
"229","ERR589747","Male",65,"Gut"
"230","ERR589748","Male",61,"Gut"
"231","ERR589749","Female",52,"Gut"
"232","ERR589754","Female",43,"Gut"
"233","ERR589756","Female",48,"Gut"
"234","ERR589759","Female",46,"Gut"
"235","ERR589761","Male",54,"Gut"
"236","ERR589763","Female",50,"Gut"
"237","ERR589764","Male",58,"Gut"
"238","ERR589766","Female",28,"Gut"
"239","ERR589767","Female",24,"Gut"
"240","ERR589768","Female",45,"Gut"
"241","ERR589769","Female",67,"Gut"
"242","ERR589770","Female",55,"Gut"
"243","ERR589771","Male",59,"Gut"
"244","ERR589772","Female",63,"Gut"
"245","ERR589773","Female",52,"Gut"
"246","ERR589774","Female",56,"Gut"
"247","ERR589775","Female",63,"Gut"
"248","ERR589776","Female",48,"Gut"
"249","ERR589777","Female",53,"Gut"
"250","ERR589778","Female",40,"Gut"
"251","ERR589779","Female",54,"Gut"
"252","ERR589780","Female",54,"Gut"
"253","ERR589781","Female",56,"Gut"
"254","ERR589782","Male",52,"Gut"
"255","ERR589784","Female",39,"Gut"
"256","ERR589785","Female",38,"Gut"
"257","ERR589786","Female",57,"Gut"
"258","ERR589788","Female",32,"Gut"
"259","ERR589789","Male",30,"Gut"
"260","ERR589790","Male",44,"Gut"
"261","ERR589791","Female",43,"Gut"
"262","ERR589792","Female",48,"Gut"
"263","ERR589793","Female",46,"Gut"
"264","ERR589794","Female",40,"Gut"
"265","ERR589795","Female",42,"Gut"
"266","ERR589796","Male",45,"Gut"
"267","ERR589797","Female",46,"Gut"
"268","ERR589798","Female",53,"Gut"
"269","ERR589799","Female",44,"Gut"
"270","ERR589800","Female",41,"Gut"
"271","ERR589801","Male",54,"Gut"
"272","ERR589804","Female",46,"Gut"
"273","ERR589805","Female",48,"Gut"
"274","ERR589806","Female",41,"Gut"
"275","ERR589807","Female",42,"Gut"
"276","ERR589808","Female",36,"Gut"
"277","ERR589809","Male",54,"Gut"
"278","ERR589810","Female",43,"Gut"
"279","ERR589811","Female",38,"Gut"
"280","ERR589813","Female",34,"Gut"
"281","ERR589814","Female",47,"Gut"
"282","ERR589817","Female",43,"Gut"
"283","ERR589818","Female",46,"Gut"
"284","ERR589819","Female",54,"Gut"
"285","ERR589820","Male",52,"Gut"
"286","ERR589821","Female",45,"Gut"
"287","ERR589825","Male",45,"Gut"
"288","ERR589826","Female",41,"Gut"
"289","ERR589827","Female",40,"Gut"
"290","ERR589828","Female",39,"Gut"
"291","ERR589829","Female",44,"Gut"
"292","ERR589830","Female",37,"Gut"
"293","ERR589831","Female",42,"Gut"
"294","ERR589833","Female",70,"Gut"
"295","ERR589835","Female",53,"Gut"
"296","ERR589836","Male",50,"Gut"
"297","ERR589837","Female",35,"Gut"
"298","ERR589839","Female",25,"Gut"
"299","ERR589842","Female",45,"Gut"
"300","ERR589843","Female",53,"Gut"
"301","ERR589845","Female",48,"Gut"
"302","ERR589846","Male",36,"Gut"
"303","ERR589847","Male",44,"Gut"
"304","ERR589848","Male",42,"Gut"
"305","ERR589849","Male",35,"Gut"
"306","ERR589850","Male",37,"Gut"
"307","ERR589851","Female",24,"Gut"
"308","ERR589852","Male",22,"Gut"
"309","ERR589853","Female",19,"Gut"
"310","ERR589854","Female",45,"Gut"
"311","ERR589855","Female",52,"Gut"
"312","ERR589856","Male",24,"Gut"
"313","ERR589857","Male",28,"Gut"
"314","ERR589858","Female",68,"Gut"
"315","ERR589859","Male",27,"Gut"
"316","ERR589860","Female",44,"Gut"
"317","ERR589861","Female",47,"Gut"
"318","ERR589862","Female",38,"Gut"
"319","ERR589863","Female",54,"Gut"
"320","ERR589864","Female",57,"Gut"
"321","ERR589865","Female",41,"Gut"
"322","ERR589866","Male",47,"Gut"
"323","ERR589867","Male",48,"Gut"
"324","ERR589868","Female",23,"Gut"
"325","ERR589869","Female",57,"Gut"
"326","ERR589870","Female",48,"Gut"
"327","ERR589871","Male",38,"Gut"
"328","ERR589872","Female",39,"Gut"
"329","ERR589873","Female",42,"Gut"
"330","ERR589874","Female",48,"Gut"
"331","ERR589875","Female",46,"Gut"
"332","DP1806001178","Female",48,"Skin"
"333","DP1806001184","Female",37,"Skin"
"334","DP1806001187","Female",33,"Skin"
"335","DP1806001193","Female",43,"Skin"
"336","DP1806001196","Female",53,"Skin"
"337","DP1806001199","Male",27,"Skin"
"338","DP1806001202","Female",34,"Skin"
"339","DP1806001205","Female",58,"Skin"
"340","DP1806001208","Female",55,"Skin"
"341","DP1806001211","Female",58,"Skin"
"342","DP1806001214","Female",51,"Skin"
"343","DP1806001217","Female",31,"Skin"
"344","DP1806001220","Female",29,"Skin"
"345","DP1806001223","Female",29,"Skin"
"346","DP1806001226","Female",30,"Skin"
"347","DP1806001229","Female",55,"Skin"
"348","DP1806001232","Male",23,"Skin"
"349","DP1806001235","Female",43,"Skin"
"350","DP1806001238","Female",28,"Skin"
"351","DP1806001241","Female",40,"Skin"
"352","DP1806001244","Female",55,"Skin"
"353","DP1806001247","Female",48,"Skin"
"354","DP1806001250","Male",40,"Skin"
"355","DP1806001262","Female",62,"Skin"
"356","DP1806001268","Male",34,"Skin"
"357","DP1806001271","Female",61,"Skin"
"358","DP1806001274","Female",37,"Skin"
"359","DP1806001277","Female",61,"Skin"
"360","DP1806001280","Female",26,"Skin"
"361","DP1806001283","Female",27,"Skin"
"362","DP1806001286","Female",32,"Skin"
"363","DP1806001289","Female",44,"Skin"
"364","DP1806001295","Female",43,"Skin"
"365","DP1806001298","Female",33,"Skin"
"366","DP1806001304","Female",58,"Skin"
"367","DP1806001307","Male",43,"Skin"
"368","DP1806001310","Female",54,"Skin"
"369","DP1806001313","Female",62,"Skin"
"370","DP1806001319","Female",46,"Skin"
"371","DP1806001322","Female",60,"Skin"
"372","DP1806001328","Female",35,"Skin"
"373","DP1806001331","Female",42,"Skin"
"374","DP1806001334","Female",41,"Skin"
"375","DP1806001337","Female",31,"Skin"
"376","DP1806001340","Female",35,"Skin"
"377","DP1806001346","Female",36,"Skin"
"378","DP1806001349","Female",61,"Skin"
"379","DP1806001358","Female",42,"Skin"
"380","DP1806001361","Female",51,"Skin"
"381","DP1806001370","Female",36,"Skin"
"382","DP1806001373","Female",40,"Skin"
"383","DP1806001379","Female",43,"Skin"
"384","DP1806001382","Female",41,"Skin"
"385","DP1806001385","Male",34,"Skin"
"386","DP1806001388","Female",29,"Skin"
"387","DP1806001391","Female",40,"Skin"
"388","DP1806001394","Male",33,"Skin"
"389","DP1806001397","Female",43,"Skin"
"390","DP1806001400","Male",48,"Skin"
"391","DP1806001403","Female",27,"Skin"
"392","DP1806001406","Female",23,"Skin"
"393","DP1806001409","Male",42,"Skin"
"394","DP1806001412","Female",29,"Skin"
"395","DP1806001415","Female",42,"Skin"
"396","DP1806001418","Male",56,"Skin"
"397","DP1806001421","Female",53,"Skin"
"398","DP1806001427","Female",36,"Skin"
"399","DP1806001433","Male",48,"Skin"
"400","DP1806001436","Male",63,"Skin"
"401","DP1806001448","Female",29,"Skin"
"402","DP1806001451","Male",38,"Skin"
"403","DP1806001454","Male",39,"Skin"
"404","DP1806001457","Female",34,"Skin"
"405","DP1806001460","Female",47,"Skin"
"406","DP1806001469","Male",25,"Skin"
"407","DP1806001472","Female",45,"Skin"
"408","DP1806001475","Female",57,"Skin"
"409","DP1806001478","Female",45,"Skin"
"410","DP1806001481","Female",40,"Skin"
"411","DP1807004281","Female",38,"Skin"
"412","DP1807004284","Female",47,"Skin"
"413","DP1807004287","Male",28,"Skin"
"414","DP1807004290","Female",39,"Skin"
"415","DP1807004293","Female",51,"Skin"
"416","DP1807004296","Female",47,"Skin"
"417","DP1807004299","Female",45,"Skin"
"418","DP1807004302","Female",41,"Skin"
"419","DP1807004305","Female",48,"Skin"
"420","DP1807004311","Female",37,"Skin"
"421","DP1807004314","Female",39,"Skin"
"422","DP1807004317","Female",39,"Skin"
"423","DP1807004320","Female",46,"Skin"
"424","DP1807004326","Female",36,"Skin"
"425","DP1807004329","Female",28,"Skin"
"426","DP1807004332","Female",50,"Skin"
"427","DP1807004335","Female",48,"Skin"
"428","DP1807004338","Female",40,"Skin"
"429","DP1807004341","Female",38,"Skin"
"430","DP1807004344","Male",53,"Skin"
"431","DP1807004347","Female",21,"Skin"
"432","DP1807004350","Female",35,"Skin"
"433","DP1807004353","Female",41,"Skin"
"434","DP1807004356","Female",46,"Skin"
"435","DP1807004359","Female",51,"Skin"
"436","DP1807004362","Male",52,"Skin"
"437","DP1807004366","Female",29,"Skin"
"438","DP1807004369","Female",46,"Skin"
"439","DP1807004372","Female",54,"Skin"
"440","DP1807004375","Female",41,"Skin"
"441","DP1807004377","Male",35,"Skin"
"442","DP1807004380","Female",54,"Skin"
"443","DP1807004383","Female",33,"Skin"
"444","DP1807004386","Female",51,"Skin"
"445","DP1807004389","Male",48,"Skin"
"446","DP1807004392","Female",56,"Skin"
"447","DP1807004395","Female",55,"Skin"
"448","DP1807004398","Male",57,"Skin"
"449","DP1807004401","Female",40,"Skin"
"450","DP1807004404","Female",32,"Skin"
"451","DP1807004407","Female",60,"Skin"
"452","DP1807004410","Female",34,"Skin"
"453","DP1807004413","Female",46,"Skin"
"454","DP1807004416","Female",43,"Skin"
"455","DP1807004419","Female",38,"Skin"
"456","DP1807004422","Male",27,"Skin"
"457","DP1807004425","Female",34,"Skin"
"458","DP1807004428","Female",40,"Skin"
"459","DP1807004431","Female",43,"Skin"
"460","DP1807004434","Female",54,"Skin"
"461","DP1807004437","Female",47,"Skin"
"462","DP1807004440","Female",43,"Skin"
"463","DP1807004443","Female",35,"Skin"
"464","DP1807004446","Female",45,"Skin"
"465","DP1807004449","Female",55,"Skin"
"466","DP1807004452","Female",32,"Skin"
"467","DP1807004455","Female",27,"Skin"
"468","DP1807004458","Female",35,"Skin"
"469","DP1807004461","Female",38,"Skin"
"470","DP1807004464","Female",30,"Skin"
"471","DP1807004467","Female",32,"Skin"
"472","DP1807004470","Female",41,"Skin"
"473","DP1807004473","Female",59,"Skin"
"474","DP1807004476","Female",47,"Skin"
"475","DP1807004479","Female",31,"Skin"
"476","DP1807004482","Female",42,"Skin"
"477","DP1807004485","Female",40,"Skin"
"478","DP1807004488","Female",49,"Skin"
"479","DP1807004491","Male",29,"Skin"
"480","DP1807004494","Female",45,"Skin"
"481","DP1807004497","Female",38,"Skin"
"482","DP1807004500","Female",53,"Skin"
"483","DP1807004503","Male",52,"Skin"
"484","DP1807004506","Male",29,"Skin"
"485","DP1807004509","Female",44,"Skin"
"486","DP1807004512","Female",59,"Skin"
"487","DP1807004515","Female",59,"Skin"
"488","DP1807004518","Female",45,"Skin"
"489","DP1807004521","Female",55,"Skin"
"490","DP1807004524","Female",58,"Skin"
"491","DP1807004527","Female",37,"Skin"
"492","DP1807004530","Female",45,"Skin"
"493","DP1807004533","Female",57,"Skin"
"494","DP1807004536","Female",40,"Skin"
"495","DP1807004542","Male",45,"Skin"
"496","DP1807004545","Female",43,"Skin"
"497","DP1807004548","Female",46,"Skin"
"498","DP1807004551","Female",49,"Skin"
"499","DP1807004557","Female",56,"Skin"
"500","DP1807004560","Female",54,"Skin"
"501","DP1807004563","Female",56,"Skin"
"502","DP1807004566","Female",58,"Skin"
"503","DP1807004569","Female",40,"Skin"
"504","DP1807004572","Female",52,"Skin"
"505","DP1807004575","Female",31,"Skin"
"506","DP1808006626","Female",52,"Skin"
"507","DP1808006629","Female",34,"Skin"
"508","DP1808006632","Female",55,"Skin"
"509","DP1808006635","Female",32,"Skin"
"510","DP1808006638","Female",54,"Skin"
"511","DP1808006641","Male",56,"Skin"
"512","DP1808006644","Female",36,"Skin"
"513","DP1808006647","Female",60,"Skin"
"514","DP1808006650","Female",29,"Skin"
"515","DP1808006653","Female",54,"Skin"
"516","DP1808006656","Male",48,"Skin"
"517","DP1808006659","Male",59,"Skin"
"518","DP1808006662","Female",60,"Skin"
"519","DP1808006665","Female",51,"Skin"
"520","DP1808006668","Female",43,"Skin"
"521","DP1808006671","Female",38,"Skin"
"522","DP1808006674","Female",38,"Skin"
"523","DP1808006683","Female",31,"Skin"
"524","DP1808006686","Female",54,"Skin"
"525","DP1808006692","Female",33,"Skin"
"526","DP1808006695","Female",54,"Skin"
"527","DP1808006698","Female",42,"Skin"
"528","DP1808006701","Male",55,"Skin"
"529","DP1808006704","Female",47,"Skin"
"530","DP1808006707","Female",57,"Skin"
"531","DP1808006710","Female",59,"Skin"
"532","DP1808006713","Female",47,"Skin"
"533","DP1808006716","Female",60,"Skin"
"534","DP1808006719","Male",30,"Skin"
"535","DP1808006722","Female",56,"Skin"
"536","DP1808006725","Female",40,"Skin"
"537","DP1808006728","Female",31,"Skin"
"538","DP1808006731","Female",26,"Skin"
"539","DP1808006737","Female",49,"Skin"
"540","DP1808006740","Female",57,"Skin"
"541","DP1808006743","Male",31,"Skin"
"542","DP1808006746","Female",59,"Skin"
"543","DP1808006749","Female",57,"Skin"
"544","DP1808006752","Male",32,"Skin"
"545","DP1808006755","Female",35,"Skin"
"546","DP1808006758","Female",30,"Skin"
"547","DP1808006761","Female",46,"Skin"
"548","DP1808006764","Female",54,"Skin"
"549","DP1808006767","Female",38,"Skin"
"550","DP1808006770","Male",39,"Skin"
"551","DP1808006773","Female",27,"Skin"
"552","DP1808006779","Female",55,"Skin"
"553","DP1808006782","Female",59,"Skin"
"554","DP1808006785","Female",58,"Skin"
"555","DP1808006788","Female",40,"Skin"
"556","DP1808006791","Female",54,"Skin"
"557","DP1808006794","Female",30,"Skin"
"558","DP1808006797","Female",60,"Skin"
"559","DP1808006800","Female",52,"Skin"
"560","DP1808006803","Female",48,"Skin"
"561","DP1808006806","Male",36,"Skin"
"562","DP1808006809","Female",38,"Skin"
"563","DP1808006812","Male",46,"Skin"
"564","DP1808006815","Female",25,"Skin"
"565","DP1808006818","Female",36,"Skin"
"566","DP1808006821","Female",36,"Skin"
"567","DP1808006824","Female",55,"Skin"
"568","DP1808006827","Female",34,"Skin"
"569","DP1808006830","Female",56,"Skin"
"570","DP1808006833","Male",27,"Skin"
"571","DP1808006836","Female",44,"Skin"
"572","DP1808006839","Male",47,"Skin"
"573","DP1808006842","Male",59,"Skin"
"574","DP1808006845","Female",36,"Skin"
"575","DP1808006848","Female",43,"Skin"
"576","DP1808006851","Female",43,"Skin"
"577","DP1808006854","Female",44,"Skin"
"578","DP1808006857","Female",45,"Skin"
"579","DP1808006860","Female",43,"Skin"
"580","DP1808006863","Female",37,"Skin"
"581","DP1808006866","Female",38,"Skin"
"582","DP1808006869","Female",40,"Skin"
"583","DP1808006872","Male",42,"Skin"
"584","DP1808006875","Female",58,"Skin"
"585","DP1808006878","Female",60,"Skin"
"586","DP1808006881","Male",36,"Skin"
"587","DP1808006884","Female",31,"Skin"
"588","DP1808006887","Female",27,"Skin"
"589","DP1808006890","Female",58,"Skin"
"590","DP1808006893","Female",37,"Skin"
"591","DP1808006896","Female",38,"Skin"
"592","DP1808006899","Female",38,"Skin"
"593","DP1808006905","Male",43,"Skin"
"594","DP1808006908","Female",41,"Skin"
"595","DP1808006912","Female",64,"Skin"
