KO	Name	C001_FD2_TZO.quant	C001_FD3_TZO.quant	C001_L-3_TZO.quant	C001_L-44_TZO.quant	C001_L-92_TZO.quant	C001_R+1_TZO.quant	C001_R+45_TZO.quant	C001_R+82_TZO.quant	C002_FD2_TZO.quant	C002_FD3_TZO.quant	C002_L-3_TZO.quant	C002_L-44_TZO.quant	C002_L-92_TZO.quant	C002_R+1_TZO.quant	C002_R+45_TZO.quant	C002_R+82_TZO.quant	C003_FD2_TZO.quant	C003_FD3_TZO.quant	C003_L-3_TZO.quant	C003_L-44_TZO.quant	C003_L-92_TZO.quant	C003_R+45_TZO.quant	C003_R+82_TZO.quant	C004_FD2_TZO.quant	C004_FD3_TZO.quant	C004_L-3_TZO.quant	C004_L-44_TZO.quant	C004_L-92_TZO.quant	C004_R+1_TZO.quant	C004_R+45_TZO.quant	C004_R+82_TZO.quant
K00013	k141_5382_1k141_25356_1k141_30698_1k141_11230_1k141_30550_1k141_301_1k141_7553_1k141_1265_1k141_6322_1k141_48536_1k141_19875_2k141_45781_1k141_13141_1k141_22983_1k141_3947_1k141_25375_1k141_10476_1k141_42201_1k141_30283_1k141_54845_1k141_35932_1k141_37246_1k141_16654_1k141_32182_1k141_50076_1k141_11446_2k141_55118_1k141_44457_1k141_31447_1k141_36605_2k141_55993_1	7.0	0.0	104.0	41.0	18.0	0.0	11.0	24.0	0.0	0.0	0.0	39.0	17.0	2.0	14.0	10.0	57.0	15.0	116.0	0.0	62.051	12.0	41.0	167.0	1.0	0.0	0.0	0.0	0.0	41.0	85.0
K00014	k141_1253_1k141_28591_1k141_19458_1k141_54316_1k141_608_1k141_17380_3k141_61602_1k141_10348_2k141_16981_1k141_3996_2k141_2202_1k141_45753_1k141_5299_1k141_28312_1k141_24169_1k141_62852_1k141_3806_1k141_14501_1k141_21782_1k141_61727_1k141_36108_1k141_54150_1k141_59472_2k141_41963_2k141_48576_1k141_3165_3k141_13511_3k141_2178_3k141_31241_1k141_5313_4k141_8616_2k141_53010_1k141_3411_2	27.701	39.0	71.709	95.642	23.0	47.0	25.0	18.0	1.0	48.0	0.0	22.0	20.0	74.0	63.0	61.001999999999995	39.0	61.519	71.0	0.0	143.0	50.0	77.0	186.556	18.0	0.0	29.285	0.0	0.0	7.0	50.0
K00015	k141_18406_1k141_19396_1k141_1630_1k141_18674_1k141_12045_1k141_28936_1k141_36156_2k141_50612_1k141_44008_1k141_34832_1k141_8119_2	13.0	0.0	22.0	13.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
K00016	k141_42303_1k141_16746_1k141_43898_1k141_8536_1k141_24811_1k141_6658_1k141_1724_2k141_25401_1k141_25505_2k141_37339_1k141_50895_1k141_58597_2k141_21088_3k141_46802_1	522.0	37.0	228.0	499.0	389.0	20.0	72.0	321.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	12.0	3.0	1.0	0.0	13.0	16.0	46.0	67.0	143.0	85.0	82.0	326.0	11.0	176.0	30.0
K00018	k141_31795_1k141_36668_1k141_42138_1k141_56917_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00019	k141_46919_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00020	k141_307_1k141_2476_1k141_38089_1k141_33176_1k141_9956_1k141_9844_1k141_8338_1k141_18049_1k141_24297_1k141_56678_1k141_38756_1k141_31561_1k141_5763_1k141_13713_1k141_21959_2k141_40998_1k141_43800_2k141_48186_1k141_43349_1k141_44926_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	108.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00021	k141_9512_1k141_11028_1k141_1758_1k141_23784_1k141_24411_1k141_21796_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00022	k141_18243_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00024	k141_17071_1k141_42303_1k141_5416_1k141_26664_1k141_31984_1k141_2742_1k141_49980_1k141_8622_1k141_24686_1k141_6811_1k141_3893_1k141_4154_1k141_24811_1k141_23553_1k141_20182_1k141_31264_1k141_19131_2k141_64479_1k141_19941_2k141_39840_1k141_36494_1k141_13326_4k141_610_2	64.155	45.0	281.0	271.0	353.0	107.0	67.0	181.0	150.0	5.0	0.0	27.0	68.0	0.0	15.0	103.0	156.0	106.0	0.0	2.014	114.0	104.0	99.0	91.0	116.542	102.0	234.0	355.0	31.0	144.0	439.0
K00026	k141_14747_1k141_1713_1k141_11138_1k141_57347_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	k141_17915_1k141_21371_1k141_16635_1k141_6899_1k141_25350_1k141_35049_1k141_18369_1k141_15431_1k141_221_1k141_17468_1k141_5202_1k141_19417_1k141_9498_1k141_44227_1k141_63957_1k141_1344_1k141_40526_1k141_2172_1k141_45369_1k141_15463_1k141_26126_1k141_30135_1k141_16189_1k141_21865_1k141_22548_1k141_53090_1k141_16154_1k141_29174_1k141_18789_1k141_51684_1k141_21436_1k141_45195_1k141_8136_2k141_59510_1k141_25542_2k141_1459_1k141_6651_2k141_52203_1k141_41956_1k141_58512_1k141_952_2k141_7841_2k141_49035_1k141_51960_1	33.0	94.0	229.0	110.0	133.639	104.0	71.975	56.0	129.0	110.0	0.0	5.0	0.0	147.0	46.099	14.0	196.0	96.649	0.0	104.0	238.0	98.927	77.059	8.0	51.0	23.0	71.0	113.0	44.0	35.0	188.586
K00029	k141_21371_1k141_16635_1k141_18741_1k141_32331_1k141_6899_1k141_35049_1k141_18369_1k141_15431_1k141_17468_1k141_16191_1k141_19971_1k141_12551_3k141_9498_1k141_44227_1k141_63957_1k141_1344_1k141_40526_1k141_2172_1k141_45369_1k141_30135_1k141_17740_1k141_21110_1k141_21865_1k141_22548_1k141_53090_1k141_16154_1k141_29174_1k141_18789_1k141_51684_1k141_8136_2k141_41970_1k141_25542_2k141_1459_1k141_53385_1k141_6651_2k141_52203_1k141_41956_1k141_58512_1k141_952_2	19.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	22.0	96.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00030	k141_7395_1k141_25604_1k141_30066_1k141_30066_2k141_31565_1k141_55083_1	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00031	k141_16047_1k141_6889_1k141_12171_1k141_3049_1k141_5418_1k141_10631_1k141_1366_1k141_42011_1k141_1353_1k141_4612_1k141_17246_1k141_10886_1k141_12282_1k141_1870_1k141_20154_1k141_14988_1k141_30937_1k141_45760_1k141_27154_1k141_15955_1k141_46853_1k141_35825_1k141_30054_1k141_51504_1k141_56800_1k141_31036_1k141_24386_1k141_13326_2k141_32166_1k141_16544_2k141_43820_1k141_36760_2k141_49870_1k141_34939_1k141_8349_2k141_63200_1k141_11356_2k141_30561_2	149.735	35.0	48.0	233.0	93.0	0.0	14.0	134.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	3.0	16.0	0.0	0.0	0.0	6.0	3.0	0.0	45.0	9.0
K00032	k141_34832_1k141_8119_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00033	k141_4657_1k141_14915_1k141_14466_1k141_23656_1k141_1998_3k141_4143_1k141_61485_1k141_9887_1k141_57614_1k141_16434_1k141_42615_1k141_25034_1k141_63559_1k141_52148_1k141_51331_1k141_37145_1k141_8087_2	3.0	0.0	108.788	32.925	32.545	0.0	7.0	25.0	27.0	204.0	0.0	8.0	93.0	26.0	85.0	64.0	69.995	66.567	0.0	0.0	85.308	61.0	78.8	44.0	3.0	0.0	7.0	1.0	0.0	20.885	37.967
K00034	k141_17467_1k141_8761_1k141_55583_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00036	k141_23673_1k141_2648_1k141_18817_1k141_10656_1k141_6820_1k141_26969_1k141_5600_1k141_18177_1k141_21208_1k141_6693_1k141_30502_1k141_21680_1k141_1480_1k141_7836_1k141_42820_1k141_29699_1k141_20055_2k141_12340_2k141_48100_1k141_1090_3k141_25021_1k141_34436_2k141_33784_1	31.0	33.0	105.046	44.302	41.0	56.0	21.0	65.268	177.0	86.0	0.0	25.798	36.0	34.0	43.0	130.0	29.475	84.141	163.0	0.0	144.0	69.996	35.114	211.0	97.623	8.0	108.0	25.0	33.0	12.469	77.189
K00039	k141_20418_1k141_26515_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00040	k141_45307_1k141_49304_1k141_19677_1k141_6268_1k141_33685_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00041	k141_7825_1k141_6268_1k141_54911_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00042	k141_307_1k141_9956_1k141_31561_1k141_44926_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00043	k141_805_1k141_10490_1k141_26718_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
