KO	Name	C001_FD2_TZO.quant	C001_FD3_TZO.quant	C001_L-3_TZO.quant	C001_L-44_TZO.quant	C001_L-92_TZO.quant	C001_R+1_TZO.quant	C001_R+45_TZO.quant	C001_R+82_TZO.quant	C002_FD2_TZO.quant	C002_FD3_TZO.quant	C002_L-3_TZO.quant	C002_L-44_TZO.quant	C002_L-92_TZO.quant	C002_R+1_TZO.quant	C002_R+45_TZO.quant	C002_R+82_TZO.quant	C003_FD2_TZO.quant	C003_FD3_TZO.quant	C003_L-3_TZO.quant	C003_L-44_TZO.quant	C003_L-92_TZO.quant	C003_R+45_TZO.quant	C003_R+82_TZO.quant	C004_FD2_TZO.quant	C004_FD3_TZO.quant	C004_L-3_TZO.quant	C004_L-44_TZO.quant	C004_L-92_TZO.quant	C004_R+1_TZO.quant	C004_R+45_TZO.quant	C004_R+82_TZO.quant
K02000	k141_28526_1k141_15853_1k141_13514_1k141_9989_1k141_47680_1k141_24073_1k141_24776_1k141_23981_1k141_2034_4k141_26639_1k141_5538_1k141_1051_3k141_59119_1k141_41277_1k141_10952_2k141_61009_1	71.0	0.0	23.0	50.0	73.848	0.0	6.0	19.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0
K02001	k141_5900_1k141_4322_1k141_24556_1k141_10275_1k141_24073_2k141_3592_1k141_2487_1k141_35192_1k141_23803_1k141_12560_1k141_48367_1k141_1998_1k141_38206_1k141_10039_1k141_51587_1k141_3505_1k141_23852_4k141_32440_1k141_30720_5k141_16853_2k141_36068_1k141_40665_1k141_4645_2k141_19119_2k141_54866_1k141_1961_2k141_50694_1k141_33018_2k141_21167_2k141_49099_1k141_27578_2	126.0	74.0	532.023	257.639	278.255	120.00999999999999	82.003	193.458	205.0	1.0	0.0	52.387	59.0	32.0	68.16	160.204	400.776	303.0	0.0	253.0	344.678	245.76	269.0	837.0	92.703	66.0	155.761	134.0	107.0	151.892	417.844
K02002	k141_5900_1k141_4322_1k141_24556_1k141_10275_1k141_24073_2k141_3592_1k141_2487_1k141_22152_1k141_23803_1k141_38818_1k141_12560_1k141_48367_1k141_1998_1k141_38206_1k141_10039_1k141_51587_1k141_3505_1k141_23852_4k141_9666_2k141_25936_1k141_30720_5k141_16853_2k141_5532_2k141_44501_1k141_40665_1k141_4645_2k141_19119_2k141_54866_1k141_1961_2k141_33099_1k141_50694_1k141_33018_2k141_21167_2k141_27578_2	126.0	74.0	532.023	257.639	278.255	120.00999999999999	82.003	193.458	205.0	1.0	0.0	52.387	59.0	32.0	68.16	160.204	400.776	303.0	94.0	253.0	344.678	245.76	269.0	837.0	92.703	66.0	155.761	134.0	107.0	151.892	417.844
K02003	k141_24056_1k141_6099_1k141_8190_1k141_11146_1k141_19713_1k141_23928_1k141_53089_1k141_12266_1k141_3207_3k141_25579_1k141_6188_1k141_13191_1k141_18358_1k141_48231_1k141_27842_1k141_16659_1k141_12259_1k141_10165_1k141_28137_1k141_24178_1k141_38150_2k141_44723_1k141_8398_2k141_12499_1k141_29324_2k141_2168_2k141_16183_1k141_643_1k141_64023_1k141_15088_2k141_24984_1k141_4164_1k141_3749_2k141_42321_1k141_43797_2k141_28063_1k141_599_1k141_37977_1k141_45739_1k141_38979_1k141_36501_1k141_14689_1k141_35392_1k141_41288_1k141_35590_1k141_18633_2k141_64609_1k141_48325_2k141_24778_2k141_46934_1k141_43013_1k141_63614_1k141_5502_1k141_6549_2k141_23601_2k141_11147_2k141_59852_1k141_22772_2k141_6904_2k141_2784_1k141_45770_1k141_49097_1k141_62125_2k141_27151_1k141_53763_2k141_31520_1k141_37428_1k141_30519_2k141_56028_1k141_29855_1k141_36541_1k141_27869_4k141_61356_1k141_61432_1k141_44320_1k141_9149_2k141_48949_2k141_43256_1k141_18241_2k141_60545_1k141_32680_2	102.536	39.0	390.052	330.0	80.255	183.906	53.0	181.292	138.0	252.0	0.0	138.968	185.645	128.0	76.0	82.61699999999999	318.46	223.981	298.0	275.0	421.673	195.566	273.57	615.0	52.0	121.0	50.377	100.732	13.474	172.605	260.129
K02004	k141_21410_1k141_11788_1k141_6099_1k141_30176_1k141_11146_1k141_19713_1k141_23581_1k141_5667_1k141_14810_1k141_10089_1k141_12436_1k141_21497_1k141_12827_1k141_13386_1k141_23811_1k141_37278_1k141_2208_1k141_15430_1k141_3207_2k141_3207_3k141_15469_1k141_9358_1k141_10769_1k141_33788_1k141_4580_1k141_6582_1k141_23664_2k141_19794_1k141_35323_1k141_25308_1k141_14553_1k141_16597_1k141_38755_1k141_16075_1k141_26781_1k141_24237_1k141_22166_1k141_2996_1k141_2996_2k141_48231_1k141_11101_1k141_27842_1k141_24257_1k141_48582_1k141_1647_1k141_18193_2k141_62954_1k141_46350_2k141_23101_1k141_29928_1k141_9235_1k141_36907_1k141_5731_2k141_20010_1k141_45547_1k141_6056_1k141_20806_1k141_12548_1k141_329_1k141_64531_1k141_24117_1k141_3541_7k141_18671_1k141_10944_1k141_10351_1k141_11660_1k141_26158_1k141_25121_1k141_7148_1k141_8207_1k141_10268_1k141_643_1k141_63397_1k141_2157_1k141_64023_1k141_15088_2k141_18410_3k141_1285_2k141_25731_1k141_42176_1k141_2200_3k141_20905_1k141_6182_1k141_60930_1k141_20412_2k141_4187_1k141_4106_1k141_38630_1k141_28063_1k141_17390_1k141_59597_1k141_20206_1k141_12746_1k141_43591_1k141_42198_1k141_53489_1k141_599_1k141_49434_1k141_404_1k141_4522_1k141_55741_1k141_32008_1k141_4997_2k141_6011_1k141_24936_1k141_17969_1k141_41762_1k141_2439_1k141_45739_1k141_63405_1k141_3282_1k141_11533_1k141_29955_1k141_3109_1k141_22066_1k141_60413_1k141_27540_2k141_35590_1k141_19236_1k141_24216_3k141_13505_1k141_52058_1k141_64609_1k141_37354_1k141_7004_1k141_37199_1k141_19433_1k141_9634_1k141_7609_1k141_18226_2k141_29354_1k141_22846_1k141_24778_2k141_46900_1k141_43013_1k141_10808_1k141_3734_2k141_32105_1k141_42882_1k141_41534_1k141_62013_1k141_62013_2k141_22749_1k141_5502_2k141_50133_1k141_14247_1k141_50885_1k141_19624_2k141_40413_1k141_54975_1k141_8628_3k141_49025_1k141_59852_1k141_20683_2k141_41709_1k141_6904_2k141_2784_1k141_63174_1k141_40869_2k141_27502_1k141_29963_2k141_29216_1k141_45770_1k141_49097_1k141_48284_1k141_29585_1k141_14298_2k141_29336_1k141_38792_1k141_60004_1k141_14273_2k141_32179_1k141_35109_1k141_23377_2k141_58432_1k141_41245_1k141_2800_3k141_61356_1k141_61432_1k141_16702_2k141_54989_1k141_44320_1k141_16962_2k141_10932_2k141_53043_2k141_56175_1k141_56763_1k141_44481_1k141_20466_2k141_62593_1k141_8069_2k141_9149_2k141_48949_2k141_46447_2k141_11361_2k141_30358_1	1100.624	1184.0	4024.329	3396.324	1894.464	2050.0	1013.9010000000001	2453.1220000000003	1294.0	671.67	67.0	784.165	1248.16	442.852	862.553	919.705	4774.218	3033.12	814.0	2195.761	4858.48	2339.8070000000002	2631.488	2746.04	967.0540000000001	1121.389	2542.154	1979.272	788.67	2054.691	5031.013
K02005	k141_10208_1k141_14876_1k141_30786_1k141_33009_1k141_20931_1k141_57005_1k141_17624_1k141_33872_1k141_50252_1k141_40605_1k141_52092_2k141_24910_2k141_46812_1k141_38582_1k141_35625_1k141_14011_1k141_54453_1k141_56262_1k141_7105_2k141_15336_1k141_45714_1k141_16398_2k141_50518_2k141_31535_1k141_53949_1k141_43460_1k141_43757_1k141_39358_1k141_18486_2k141_27830_1k141_41103_1k141_48933_1k141_40043_1k141_38820_2	0.0	0.0	24.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
K02006	k141_22207_1k141_23922_1k141_3753_1k141_2505_3k141_58273_1k141_46126_1k141_46126_2k141_34110_1k141_37337_1k141_19042_2k141_8001_2k141_9139_1k141_40284_1k141_20491_2	45.0	0.0	137.0	167.0	81.0	78.0	34.0	99.0	53.0	94.893	0.0	52.0	0.0	7.0	69.0	13.0	205.0	80.0	65.0	64.0	147.0	46.0	60.0	146.0	19.0	1.0	55.0	63.0	67.0	81.0	195.0
K02007	k141_2855_3	123.0	150.0	236.0	414.0	225.0	194.0	108.0	208.0	224.0	53.0	0.0	94.0	227.0	9.0	154.0	130.0	417.0	402.0	0.0	247.0	415.0	280.0	259.0	453.0	104.0	47.0	220.0	255.0	86.0	201.0	549.0
K02008	k141_8807_1k141_28758_1k141_4199_3k141_26051_2	59.527	0.0	0.0	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	77.0	0.0	1.0	0.0	76.0	0.0	24.0	53.0
K02009	k141_4002_2k141_52415_1k141_34922_2k141_62011_1k141_2855_2	33.0	0.0	83.0	17.0	9.0	0.0	3.0	23.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	78.0	1.182	0.0	24.836	197.0	21.0	50.0	56.989
K02010	k141_58220_1k141_17419_1k141_1505_1k141_10987_1k141_142_1k141_15760_1k141_13691_1k141_4492_1k141_3199_1k141_39007_1k141_46269_1k141_54459_1k141_4049_1k141_2984_1k141_46106_1k141_30225_1k141_24498_1k141_45693_1k141_55433_1k141_31118_1k141_58003_1	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02011	k141_4817_1k141_3782_1k141_18426_1k141_10218_1k141_3199_1k141_36506_1k141_46943_1k141_56429_1k141_41346_1k141_48152_1k141_13602_1k141_51336_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02012	k141_7620_1k141_491_1k141_24060_1k141_11704_1k141_21986_1k141_39349_2k141_5957_1k141_35241_1k141_29269_1k141_8588_1k141_47074_1k141_22392_2k141_16370_1k141_36618_1k141_16582_1k141_62522_1k141_38425_1k141_11639_2k141_51336_1k141_52939_1k141_52840_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02013	k141_13950_1k141_27111_1k141_3931_2k141_25717_1k141_23082_1k141_28431_1k141_24783_1k141_12120_1k141_27119_1k141_27719_1k141_63278_1k141_3749_1k141_32566_1k141_33769_1k141_39084_1k141_35968_2k141_9426_1k141_19304_2k141_10902_1k141_34202_1k141_21306_1k141_47077_1k141_30661_1k141_8906_1k141_49854_1k141_2639_1k141_41881_1k141_31236_1k141_53663_2k141_57963_1k141_33441_1k141_23988_1k141_17956_2k141_39335_1k141_32835_2k141_25559_10k141_18350_1k141_63613_1k141_33375_1k141_49148_2k141_32128_1k141_25777_2k141_4121_2k141_17250_2k141_18120_2k141_57154_1k141_1408_3k141_27037_2k141_13673_6	103.476	0.0	409.0	160.0	43.807	169.0	25.115000000000002	77.425	23.0	113.0	10.0	36.884	0.0	55.0	137.332	26.316000000000003	50.0	120.848	69.0	54.0	159.666	83.94	67.146	712.0	56.0	0.0	111.0	46.0	24.0	27.5	119.0
K02014	k141_123_1k141_8770_1k141_24474_1k141_37097_1k141_3583_1k141_29161_1k141_58218_1k141_15783_1k141_24157_1k141_17683_1k141_23329_1k141_40031_1k141_28718_1k141_45571_1k141_29_1k141_6298_1k141_40708_1k141_46083_1k141_49973_1k141_21818_1k141_16311_1k141_27487_1k141_16517_1k141_36966_1k141_15876_1k141_23372_1k141_21255_1k141_2277_1k141_5694_1k141_8961_1k141_16906_1k141_40172_1k141_5434_1k141_15085_1k141_465_1k141_2831_1k141_24127_1k141_20864_1k141_31049_1k141_13269_1k141_21415_1k141_28140_1k141_36562_1k141_11878_1k141_8425_1k141_18028_1k141_36590_1k141_24771_1k141_24771_2k141_758_1k141_26270_1k141_31243_1k141_35702_1k141_19584_1k141_3249_1k141_29548_1k141_34346_1k141_32201_1k141_26211_1k141_20329_1k141_30712_1k141_3676_1k141_38327_1k141_32046_1k141_19354_1k141_16252_1k141_41754_1k141_21001_1k141_13139_1k141_16421_1k141_1739_1k141_20533_1k141_1988_1k141_27175_1k141_24753_1k141_13834_1k141_40106_1k141_5656_1k141_33322_1k141_30398_1k141_36545_1k141_44141_1k141_23849_1k141_20199_1k141_46228_1k141_7573_1k141_23182_1k141_30545_1k141_6424_1k141_39027_1k141_21466_1k141_10986_1k141_36313_1k141_26423_1k141_43154_1k141_21839_1k141_14720_1k141_2143_1k141_26102_1k141_15771_1k141_31849_1k141_56650_1k141_48640_1k141_23622_1k141_24964_1k141_53966_1k141_12658_1k141_46293_1k141_19377_1k141_15323_1k141_37866_1k141_40289_1k141_40289_2k141_24004_1k141_4236_1k141_30407_1k141_37912_1k141_46131_1k141_28413_1k141_4008_1k141_30756_1k141_25480_1k141_27706_1k141_10969_1k141_22938_1k141_23397_1k141_6157_1k141_31046_1k141_47724_1k141_41338_1k141_26385_1k141_46282_1k141_34671_1k141_38119_1k141_44403_1k141_30566_1k141_207_1k141_52732_1k141_30465_1k141_49180_1k141_3598_1k141_9929_1k141_47631_1k141_24920_1k141_56490_1k141_24602_1k141_24224_1k141_58343_1k141_34746_1k141_3272_1k141_47319_1k141_17168_1k141_46246_1k141_29941_1k141_31816_1k141_43364_1k141_25430_1k141_51585_1k141_3089_1k141_11215_1k141_48758_1k141_39516_1k141_35819_1k141_26267_2k141_42237_1k141_40346_1k141_40402_1k141_35036_1k141_47603_1k141_28793_1k141_54686_1k141_33599_1k141_24165_1k141_43861_1k141_38003_1k141_40885_1k141_43505_1k141_12670_1k141_36627_1k141_20985_1k141_37340_1k141_40326_1k141_11604_1k141_31877_1k141_21416_2k141_43693_1k141_43693_2k141_62653_1k141_46402_1k141_48599_1k141_30497_1k141_8747_1k141_15544_1k141_6263_1k141_24_1k141_34468_1k141_38095_1k141_37762_1k141_41505_1k141_37849_1k141_3511_1k141_12193_2k141_11253_1k141_27142_1k141_5501_2k141_43059_1k141_36552_1k141_46442_1k141_7813_1k141_34898_1k141_49008_1k141_22231_1k141_20994_1k141_45558_1k141_60725_1k141_30867_1k141_44071_1k141_13294_1k141_52765_1k141_33748_1k141_55527_1k141_31393_2k141_43871_1k141_45040_1k141_44943_1k141_31880_1k141_9244_1k141_48062_1k141_43495_1k141_51695_1k141_55026_1k141_41559_2k141_821_2k141_32019_1k141_62112_1k141_47901_1k141_23083_1k141_41637_1k141_59076_1k141_13490_1k141_40770_1k141_44559_1k141_48349_1k141_34820_1k141_52896_1k141_38173_1k141_56125_1k141_25573_2k141_38492_1k141_41270_1k141_52575_1k141_23403_1k141_38399_1k141_57790_1k141_57883_1k141_19635_2k141_39492_1k141_35467_1k141_27291_1k141_48565_1k141_39288_1k141_36187_1k141_63718_1k141_34022_1k141_29309_1k141_51523_1k141_37890_1k141_63607_1k141_44116_1k141_46741_1k141_608_2k141_56115_1k141_37358_1k141_53587_1k141_2268_2k141_45255_1k141_27739_1k141_49477_1k141_57162_1k141_47615_1k141_39164_1k141_38071_1k141_50648_2k141_51432_1k141_40795_1k141_59278_1k141_39546_1k141_52751_1k141_57433_1k141_58990_1k141_5509_2k141_43545_1k141_63869_1k141_35508_1k141_47228_1k141_37355_1k141_26016_1k141_45374_2k141_43342_1k141_38154_1k141_38867_1k141_54919_1k141_20300_2k141_36732_1k141_55634_1k141_27263_1k141_44306_1k141_59793_1k141_18721_2k141_31331_2k141_47155_1k141_62632_1k141_64070_1k141_46396_1k141_48872_1k141_41786_1k141_53731_1k141_52527_1k141_45259_1k141_59481_1k141_32899_1k141_38642_1k141_40024_2k141_32300_1k141_13707_2k141_53322_1k141_45336_1k141_44896_1k141_10444_2	856.144	0.0	53.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	22.0	1.0	406.0	0.0	0.0	0.0	0.0	663.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02015	k141_2954_1k141_20251_1k141_17462_1k141_39786_1k141_29434_1k141_18355_1k141_11815_1k141_19031_1k141_25725_1k141_12069_1k141_21266_1k141_18245_1k141_28637_1k141_25331_1k141_28478_1k141_43210_1k141_13391_1k141_16158_1k141_12967_1k141_10401_1k141_49456_1k141_2598_1k141_25902_1k141_41335_2k141_15107_1k141_15767_1k141_12566_1k141_24269_1k141_8706_1k141_44733_1k141_17744_1k141_9426_1k141_6803_2k141_21860_1k141_2119_1k141_20325_1k141_35629_1k141_21306_1k141_21398_1k141_9366_1k141_5101_1k141_34296_1k141_38564_1k141_21475_1k141_21114_1k141_38202_1k141_47541_2k141_20183_1k141_18396_2k141_34633_1k141_22453_2k141_13310_2k141_39758_1k141_40843_1k141_34421_1k141_19066_2k141_59991_1k141_53663_1k141_31738_1k141_15557_2k141_17731_2k141_37572_1k141_2495_2k141_11040_1k141_30127_2k141_7430_2k141_1674_2k141_43315_1k141_4121_2k141_5509_3k141_53003_1k141_44356_1k141_33853_2k141_16884_2k141_48014_1k141_51648_1k141_46113_1k141_22469_2k141_58479_1k141_13673_5k141_11214_2k141_42531_2	72.899	64.0	222.166	273.139	25.841	157.249	65.588	215.298	62.882	81.0	0.0	50.601	102.0	210.0	102.0	70.337	282.682	163.51100000000002	0.0	370.565	323.048	168.918	172.826	554.0	74.0	30.0	175.424	118.0	103.0	107.352	238.689
K02016	k141_51146_1k141_5478_1k141_12791_1k141_32108_1k141_46638_1k141_46638_2k141_16675_1k141_15700_1k141_11051_1k141_8227_1k141_14881_1k141_22767_1k141_33481_1k141_31635_1k141_8692_1k141_32644_1k141_63337_1k141_45389_1k141_29141_1k141_12930_1k141_1365_1k141_37835_1k141_31095_1k141_25495_1k141_30237_1k141_40121_2k141_12576_1k141_22169_1k141_47318_1k141_16177_1k141_37269_1k141_1748_1k141_4797_1k141_5984_1k141_39970_2k141_8683_2k141_4992_2k141_29087_1k141_46989_1k141_5229_3k141_42537_1k141_47907_1k141_28057_1k141_30900_1k141_47194_1k141_63663_1k141_21449_2k141_2495_3k141_2495_4k141_62678_1k141_4418_2k141_10624_2k141_60187_1k141_23608_1k141_48134_2k141_4603_3k141_8103_2k141_3608_4k141_56258_1k141_58369_1k141_17852_2k141_30216_2k141_55254_1k141_60169_1k141_13673_7	44.672	68.0	523.002	537.169	210.0	261.599	80.0	349.80600000000004	189.0	37.0	0.0	52.0	109.0	884.003	78.0	73.0	294.051	214.0	0.0	295.0	478.173	271.0	305.0	410.0	60.0	51.0	192.0	225.0	114.19800000000001	148.409	379.185
K02017	k141_3959_1k141_7704_1k141_11034_1k141_35814_1k141_693_1k141_30764_1k141_28512_1k141_53521_1k141_32951_1k141_32698_1k141_43489_1k141_51795_1k141_35360_1k141_24173_1k141_17406_2k141_27058_2k141_23493_6k141_31950_2k141_4576_4k141_8068_2k141_26652_2k141_7622_2k141_13758_2	29.244999999999997	0.0	194.0	90.648	67.916	141.0	24.544	26.136	0.0	201.0	8.0	8.0	6.0	20.0	0.0	22.0	125.0	77.599	63.0	115.0	148.403	78.91300000000001	107.647	214.088	19.0	0.0	59.0	0.0	31.0	26.0	103.691
K02018	k141_50896_1k141_3959_1k141_23646_1k141_11034_1k141_9306_1k141_2365_1k141_26383_2k141_53521_1k141_32951_1k141_32890_1k141_24173_1k141_35562_1k141_23493_6k141_31950_2k141_39174_1k141_4576_4k141_8068_2k141_7622_2k141_13758_2	29.244999999999997	0.0	208.0	90.648	67.916	141.0	24.544	26.136	0.0	201.0	8.0	8.0	6.0	18.0	0.0	22.0	125.0	77.599	139.0	115.0	148.403	78.91300000000001	107.647	214.088	19.0	0.0	59.0	0.0	31.0	26.0	103.691
K02019	k141_15337_1k141_36385_1k141_23612_1k141_37002_1k141_31549_1k141_25742_1k141_18332_2k141_26538_2k141_48082_1k141_57340_1k141_14277_5k141_11440_2	0.0	0.0	29.0	15.0	40.0	8.0	14.0	9.0	0.0	0.0	0.0	4.0	0.0	11.0	0.0	12.0	11.0	22.0	0.0	0.0	53.0	10.0	4.0	112.0	0.0	0.0	22.0	38.0	0.0	6.0	12.0
K02020	k141_28840_1k141_42014_1k141_8330_1k141_23646_1k141_42437_1k141_1890_1k141_6097_1k141_35883_1k141_22077_1k141_2682_1k141_19691_1k141_44834_1k141_42194_1k141_47989_1k141_57186_1k141_43828_1	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02021	k141_39659_1k141_10489_1k141_1043_1k141_25056_1k141_17652_1k141_33402_1k141_25151_1k141_60071_1k141_6169_1k141_34472_1k141_26387_1k141_32792_1k141_35926_1k141_28799_1k141_12487_2k141_12487_3k141_39392_1k141_48253_1k141_37723_1k141_35182_1k141_61716_1k141_23109_2k141_49016_1k141_57597_1	12.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	8.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02022	k141_21549_1k141_9319_1k141_33013_1k141_29752_1k141_43692_1k141_7105_2k141_32121_1k141_40338_1k141_30457_1k141_41617_1k141_31412_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02024	k141_54381_1k141_30044_1k141_63977_1k141_11716_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02025	k141_26555_1k141_20420_1k141_7944_1k141_1670_1k141_8082_3k141_23895_1k141_1816_1k141_11809_1k141_22293_1k141_31204_2k141_37009_2k141_4471_1k141_1844_1k141_21609_1k141_30529_1k141_32249_1k141_11326_1k141_28953_1k141_16008_1k141_54207_2k141_63547_1k141_50480_1k141_37401_1k141_54841_1k141_48803_1k141_10485_2k141_56165_1k141_22581_2k141_992_1k141_315_2k141_46296_2k141_12428_2k141_44280_1k141_7663_5k141_33598_1k141_36119_1k141_36929_1k141_8157_2k141_60851_1k141_36372_1k141_3905_3k141_27157_2k141_19948_2k141_19719_2k141_50598_2	32.0	28.0	373.388	258.028	150.224	115.0	57.0	210.0	127.635	264.0	1.0	38.0	26.0	47.0	81.0	79.0	154.641	183.339	0.0	114.0	280.0	140.0	130.0	231.086	15.0	0.0	54.0	94.0	2.0	65.0	100.0
K02026	k141_19074_1k141_16839_2k141_7803_1k141_17207_1k141_11156_1k141_8082_2k141_47182_1k141_24615_1k141_22320_1k141_8381_1k141_22625_1k141_31204_1k141_18917_1k141_60068_1k141_19629_1k141_27754_2k141_38559_1k141_6117_1k141_3275_2k141_20538_1k141_22783_1k141_50480_1k141_9931_1k141_12568_2k141_14321_2k141_24908_1k141_56165_1k141_45406_1k141_16199_8k141_33598_1k141_30031_1k141_60851_1k141_41712_1k141_41712_2k141_49644_1k141_24189_2k141_58345_1	21.0	0.0	78.0	0.0	9.375	0.0	2.0	10.0	0.0	0.0	33.0	0.0	16.0	44.0	0.0	25.0	1.0	17.0	0.0	0.0	7.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
K02027	k141_15422_1k141_2966_1k141_9709_1k141_58281_1k141_4574_1k141_5436_1k141_57257_1k141_8082_4k141_23589_1k141_9064_1k141_60366_1k141_49691_1k141_18440_1k141_53344_1k141_51301_1k141_16604_1k141_20348_1k141_10029_1k141_9308_1k141_23209_1k141_14499_1k141_4080_1k141_963_1k141_37213_1k141_31834_1k141_8221_1k141_35996_1k141_29530_1k141_21980_1k141_28828_1k141_28232_1k141_38760_1k141_42855_1k141_33334_1k141_31341_1k141_46296_1k141_7663_6k141_24027_1k141_38256_1k141_61142_1k141_29223_2k141_53288_1k141_60040_1k141_17929_2k141_54376_1k141_41205_1	20.0	25.0	284.76	114.0	109.0	33.0	102.0	48.524	26.0	656.0	0.0	27.0	45.0	120.935	0.0	18.0	105.0	120.906	79.0	151.0	285.0	96.0	112.771	527.0	48.0	0.0	108.0	124.322	17.0	34.0	65.413
K02028	k141_4373_1k141_22569_1k141_14712_1k141_25717_1k141_19971_1k141_6137_1k141_28189_1k141_40123_1k141_3723_1k141_4779_1k141_15615_1k141_10430_1k141_32231_1k141_16343_1k141_26061_1k141_20759_1k141_24783_1k141_26939_1k141_33399_1k141_49234_1k141_3217_1k141_3980_1k141_24778_1k141_33769_1k141_21893_1k141_20776_1k141_42032_1k141_38217_1k141_10985_2k141_17003_3k141_49854_1k141_48128_1k141_16591_2k141_41970_1k141_28262_2k141_33441_1k141_21422_2k141_43428_1k141_33375_1k141_37784_2k141_25777_2k141_31123_2k141_13373_2k141_14499_2k141_21760_2k141_61337_1k141_20458_2k141_54373_1k141_18086_2k141_49203_1k141_46159_1	101.0	0.0	112.0	59.0	7.0	19.0	8.0	47.0	0.0	24.0	0.0	3.0	36.0	136.0	1.0	0.0	28.0	16.0	1.0	0.0	26.0	21.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	18.0
K02029	k141_28940_1k141_28841_1k141_44199_1k141_49820_2k141_37716_1k141_16237_1k141_6497_1k141_40123_1k141_12634_1k141_45230_1k141_22076_1k141_24200_1k141_13071_1k141_18290_2k141_35333_1k141_17496_1k141_9998_1k141_32262_1k141_55506_1k141_11314_1k141_31999_1k141_29070_1k141_45461_1k141_47390_1k141_38217_1k141_44263_1k141_7731_1k141_25048_1k141_5679_1k141_32149_1k141_10221_1k141_10818_1k141_38398_1k141_10417_2k141_22213_1k141_41228_1k141_16433_2k141_15484_2k141_39399_2k141_16512_2k141_60512_1k141_8268_2k141_58436_1k141_14126_2k141_51818_2k141_53774_1k141_44743_1k141_7113_2k141_40350_1k141_36759_1k141_41690_1k141_59955_1k141_61337_1k141_49916_1k141_46159_1	8.0	16.0	97.499	0.0	24.0	11.0	9.0	3.0	0.0	42.433	1.0	0.0	39.0	58.0	0.0	9.0	26.0	19.0	1.0	0.0	0.0	21.712	12.0	0.0	0.0	0.0	0.0	0.0	0.0	11.355	23.0
